rho,pdf_rho
0.925,0.00197784810126582
0.935,0.0055379746835443
0.945,0.0209651898734177
0.955,0.0597310126582278
0.965,0.0988924050632911
0.975,0.112737341772152
0.985,0.110759493670886
0.995,0.134493670886076
1.005,0.119066455696203
1.015,0.0838607594936709
1.025,0.0771360759493671
1.035,0.0581487341772152
1.045,0.0344145569620253
1.055,0.0320411392405063
1.065,0.0221518987341772
1.075,0.0138449367088608
1.085,0.00791139240506329
1.095,0.00316455696202532
1.105,0.000395569620253165
1.115,0.00158227848101266
1.125,0
1.135,0
1.145,0.000791139240506329
1.155,0
1.165,0
1.175,0
1.185,0
1.195,0
1.205,0
1.215,0
1.225,0
1.235,0
1.245,0
1.255,0
1.265,0
1.275,0
1.285,0
1.295,0
1.305,0
1.315,0
1.325,0
1.335,0
1.345,0
1.355,0.000395569620253165
