J,pdf_J
-1.274,0.000395569620253165
-1.222,0.00474683544303797
-1.17,0.0170094936708861
-1.118,0.0316455696202532
-1.066,0.0454905063291139
-1.014,0.0450949367088608
-0.962,0.0498417721518987
-0.91,0.0257120253164557
-0.858,0.0134493670886076
-0.806,0.00751582278481013
-0.754,0.00276898734177215
-0.702,0.00118670886075949
-0.65,0.00118670886075949
-0.598,0.000395569620253165
-0.546,0.000395569620253165
-0.494,0.000395569620253165
-0.442,0
-0.39,0
-0.338,0
-0.286,0.000395569620253165
-0.234,0.000791139240506329
-0.182,0.000791139240506329
-0.13,0.00830696202531645
-0.0779999999999998,0.0522151898734177
-0.0259999999999999,0.193433544303797
0.026,0.173655063291139
0.0780000000000001,0.0399525316455696
0.13,0.00593354430379747
0.182,0.00158227848101266
0.234,0.000395569620253165
0.286,0
0.338,0
0.39,0.000791139240506329
0.442,0.000395569620253165
0.494,0.000395569620253165
0.546,0.000395569620253165
0.598,0
0.65,0
0.702,0.000791139240506329
0.754,0.00356012658227848
0.806,0.00712025316455696
0.858,0.0185917721518987
0.91,0.0261075949367089
0.962,0.0470727848101266
1.014,0.0628955696202532
1.066,0.0466772151898734
1.118,0.0387658227848101
1.17,0.0178006329113924
1.222,0.00316455696202532
1.274,0.000791139240506329
