# eps nu error
6.600000000000000311e-01 5.863718286826280490e-01 9.861278822314354861e-03
6.999999999999999556e-01 5.649871795753360626e-01 1.022083521501371273e-02
7.399999999999999911e-01 5.904651460462563284e-01 1.287770094020717834e-02
7.700000000000000178e-01 6.172325795663977654e-01 1.388178489350974133e-02
8.399999999999999689e-01 7.306037154456355154e-01 1.637333840026267140e-02
9.899999999999999911e-01 7.966208166248096578e-01 2.490779937450313120e-02
1.070000000000000062e+00 8.078091201088978268e-01 2.678131484537869117e-02
1.139999999999999902e+00 7.426609589750220453e-01 1.290168716701490560e-02
1.219999999999999973e+00 7.418738186260732670e-01 2.455340977129939761e-02
1.300000000000000044e+00 7.331327510652754231e-01 1.135636806888527979e-02
1.439999999999999947e+00 7.510796979980213228e-01 3.103455315668967110e-02
