# L Rg
5.685411514875032601e+00 8.660254040891889327e-01
9.414765859678945858e+00 1.340827590739108510e+00
1.211527658628588000e+01 1.581290289022515116e+00
1.559039586856090409e+01 1.889939965002881639e+00
2.006231072046491803e+01 2.323224495241092757e+00
2.581693979022961472e+01 2.827849608554419802e+00
3.322221400212147557e+01 3.346346009780530650e+00
4.275160077727167618e+01 4.090305229071404369e+00
5.501437589025533725e+01 5.548766048256495331e+00
7.079457843841373688e+01 6.533469488142630510e+00
9.110113956887529696e+01 8.317389310648302114e+00
1.172323900193513566e+02 9.512142570333592673e+00
1.508590708600178516e+02 1.255861055253875413e+01
1.941311548539712248e+02 1.248146764138255627e+01
2.498153082217129395e+02 1.654137649303524071e+01
