# eps h
6.600000000000000311e-01 2.700000000000000178e+00
6.999999999999999556e-01 3.100000000000000089e+00
7.399999999999999911e-01 3.600000000000000089e+00
7.700000000000000178e-01 4.400000000000000355e+00
8.399999999999999689e-01 5.010416666666666963e+00
9.899999999999999911e-01 1.050322580645161352e+01
1.070000000000000062e+00 8.402580645161290107e+00
1.139999999999999902e+00 1.041852237252861713e+01
1.219999999999999973e+00 8.275505350772890623e+00
1.300000000000000044e+00 9.727348394768133844e+00
1.439999999999999947e+00 9.921201814058957069e+00
