# r C
0.000000000000000000e+00 3.454107065452969305e-01
1.000000000000000000e+00 2.302572614107883942e-01
2.000000000000000000e+00 1.791114423668945799e-01
3.000000000000000000e+00 1.443737673459959958e-01
4.000000000000000000e+00 1.206505615596524666e-01
5.000000000000000000e+00 1.054303118654657118e-01
6.000000000000000000e+00 9.311236125893264381e-02
7.000000000000000000e+00 8.166689463365704726e-02
8.000000000000000000e+00 7.379588345085026646e-02
9.000000000000000000e+00 6.677491079410438624e-02
1.000000000000000000e+01 6.005739929033604430e-02
1.100000000000000000e+01 5.513223478649010439e-02
1.200000000000000000e+01 5.066106748057870590e-02
1.300000000000000000e+01 4.624166276620641364e-02
1.400000000000000000e+01 4.243603565699860525e-02
1.500000000000000000e+01 3.968447053858471102e-02
1.600000000000000000e+01 3.692510865463895925e-02
1.700000000000000000e+01 3.446703873570205329e-02
1.800000000000000000e+01 3.237712734330300268e-02
1.900000000000000000e+01 3.065848506431445575e-02
2.000000000000000000e+01 2.923205552225995735e-02
2.100000000000000000e+01 2.784787534951135846e-02
2.200000000000000000e+01 2.625186109329300313e-02
2.300000000000000000e+01 2.474457788134074368e-02
2.400000000000000000e+01 2.369281739795268266e-02
2.500000000000000000e+01 2.229799729243598164e-02
2.600000000000000000e+01 2.118187914192336263e-02
2.700000000000000000e+01 2.028703738322748876e-02
2.800000000000000000e+01 1.918483874337043038e-02
2.900000000000000000e+01 1.808756704292638004e-02
3.000000000000000000e+01 1.722897055930079635e-02
3.100000000000000000e+01 1.631540746515410326e-02
3.200000000000000000e+01 1.526195074843070959e-02
3.300000000000000000e+01 1.451685113087041075e-02
3.400000000000000000e+01 1.383199166111997135e-02
3.500000000000000000e+01 1.316507883447545768e-02
3.600000000000000000e+01 1.251891686630591909e-02
3.700000000000000000e+01 1.179993611584327119e-02
3.800000000000000000e+01 1.142488069180810223e-02
3.900000000000000000e+01 1.090917973520934108e-02
4.000000000000000000e+01 1.037477148080438727e-02
4.100000000000000000e+01 1.010721427731191280e-02
4.200000000000000000e+01 9.498200471600546854e-03
4.300000000000000000e+01 8.989197227314570798e-03
4.400000000000000000e+01 8.587506932007236971e-03
4.500000000000000000e+01 7.993359158826785285e-03
4.600000000000000000e+01 7.605030389373455824e-03
4.700000000000000000e+01 7.224793925366467667e-03
4.800000000000000000e+01 6.978999905829174309e-03
4.900000000000000000e+01 6.567308325468074366e-03
5.000000000000000000e+01 6.331443214655689024e-03
5.100000000000000000e+01 5.907614708366543642e-03
5.200000000000000000e+01 5.669456066945606845e-03
5.300000000000000000e+01 5.716172958691123282e-03
5.400000000000000000e+01 5.586564002555394724e-03
5.500000000000000000e+01 5.393704146050162448e-03
5.600000000000000000e+01 5.280797611671266857e-03
5.700000000000000000e+01 4.787027929297445542e-03
5.800000000000000000e+01 4.720819832717956452e-03
5.900000000000000000e+01 4.313782705962454674e-03
6.000000000000000000e+01 3.681074530397899537e-03
6.100000000000000000e+01 3.373141913352814027e-03
6.200000000000000000e+01 3.019508057675996532e-03
6.300000000000000000e+01 2.612868823320298618e-03
6.400000000000000000e+01 2.413947250782297761e-03
6.500000000000000000e+01 1.961082395865004682e-03
6.600000000000000000e+01 1.135604542418169752e-03
6.700000000000000000e+01 6.849315068493150738e-04
6.800000000000000000e+01 2.770083102493075015e-04
6.900000000000000000e+01 0.000000000000000000e+00
7.000000000000000000e+01 0.000000000000000000e+00
7.100000000000000000e+01 0.000000000000000000e+00
7.200000000000000000e+01 0.000000000000000000e+00
7.300000000000000000e+01 0.000000000000000000e+00
7.400000000000000000e+01 0.000000000000000000e+00
7.500000000000000000e+01 0.000000000000000000e+00
7.600000000000000000e+01 0.000000000000000000e+00
7.700000000000000000e+01 0.000000000000000000e+00
7.800000000000000000e+01 0.000000000000000000e+00
7.900000000000000000e+01 0.000000000000000000e+00
