# L Rg
5.963623316594642176e+00 8.660249999958501421e-01
9.540954763499938096e+00 1.341639999999026722e+00
1.206792640639329051e+01 1.581140000000009094e+00
1.357228782971653835e+01 1.723060668973491527e+00
1.526417967175233237e+01 1.945550000000006996e+00
1.716697906607859991e+01 2.045135123045073389e+00
1.930697728883249908e+01 2.328206783007328529e+00
2.171374302937518763e+01 2.413829459494596374e+00
2.442053094548650805e+01 2.707679501023275925e+00
2.746474114816052392e+01 2.617842307385291001e+00
3.088843596477482123e+01 2.884198784117042003e+00
3.473892112083115791e+01 3.124233885209564132e+00
3.906939937054616507e+01 3.330438986918387023e+00
4.393970560760789823e+01 3.597872284411300026e+00
4.941713361323834164e+01 3.934447228917614670e+00
5.557736586486876007e+01 4.147795724658664973e+00
6.250551925273975229e+01 4.500241716312716633e+00
7.029732115325474240e+01 4.815295971798732921e+00
7.906043210907699859e+01 5.121106342451049898e+00
8.891593339164637655e+01 5.467572523223120484e+00
1.000000000000000426e+02 5.882659362757074462e+00
1.124657822119820025e+02 6.267152652084262421e+00
1.264855216855296050e+02 6.700762522556729550e+00
1.422529313485370608e+02 7.180336707846215916e+00
1.599858719606058912e+02 7.634133380225602394e+00
1.799293623291553104e+02 8.145544494986802775e+00
2.023589647725157192e+02 8.740879352901464117e+00
2.275845926074787826e+02 9.309303751570510599e+00
2.559547922699537139e+02 9.952551021198548398e+00
2.878615592354569230e+02 1.066224592523943038e+01
3.237457542817644480e+02 1.141967997628329989e+01
3.641031949310673781e+02 1.225697223710928263e+01
4.094915062380423478e+02 1.311501588486732572e+01
4.605378255822416236e+02 1.402887272238702465e+01
5.179474679231211667e+02 1.493135463131435081e+01
5.825136712468924998e+02 1.583315470262890123e+01
6.551285568595505993e+02 1.674407567113565776e+01
7.367954559661632175e+02 1.764075569246496045e+01
8.286427728546844946e+02 1.843018964841920848e+01
9.319395762340777765e+02 1.895411392890516566e+01
1.048113134154686350e+03 1.937709452619322903e+01
1.178768634793587808e+03 1.966004218315413610e+01
1.325711365590109381e+03 2.000446963547834045e+01
1.490971657184064043e+03 2.015179712674160939e+01
