# L Rg
5.963623316594642176e+00 8.660249999926664666e-01
9.540954763499938096e+00 1.341639999999383770e+00
1.206792640639329051e+01 1.581140000000126777e+00
1.357228782971653835e+01 1.728216847479486118e+00
1.526417967175233237e+01 1.945951661338543470e+00
1.716697906607859991e+01 2.048031761289728969e+00
1.930697728883249908e+01 2.319378594122972093e+00
2.171374302937518763e+01 2.433827530074103240e+00
2.442053094548650805e+01 2.638624138973445277e+00
2.746474114816052392e+01 2.685927199870078663e+00
3.088843596477482123e+01 2.948881358977794687e+00
3.473892112083115791e+01 3.223303101988210351e+00
3.906939937054616507e+01 3.442723814929504744e+00
4.393970560760789823e+01 3.707287726864280319e+00
4.941713361323834164e+01 4.081038272135325329e+00
5.557736586486876007e+01 4.313525565856966892e+00
6.250551925273975229e+01 4.689182950163873542e+00
7.029732115325474240e+01 5.034252973569214085e+00
7.906043210907699859e+01 5.379910033577410822e+00
8.891593339164637655e+01 5.760696847339628945e+00
1.000000000000000426e+02 6.231772632948450408e+00
1.124657822119820025e+02 6.672821011413667236e+00
1.264855216855296050e+02 7.166052224236088009e+00
1.422529313485370608e+02 7.682394208683210657e+00
1.599858719606058912e+02 8.248056356783809662e+00
1.799293623291553104e+02 8.858904958487604731e+00
2.023589647725157192e+02 9.531835680194379989e+00
2.275845926074787826e+02 1.026722781024207620e+01
2.559547922699537139e+02 1.103144255813084840e+01
2.878615592354569230e+02 1.186344174416451480e+01
3.237457542817644480e+02 1.281586682213629658e+01
3.641031949310673781e+02 1.380863817435292518e+01
4.094915062380423478e+02 1.486951885142954843e+01
4.605378255822416236e+02 1.585825325022981502e+01
5.179474679231211667e+02 1.677211210377947737e+01
5.825136712468924998e+02 1.754902565587998353e+01
6.551285568595505993e+02 1.817781489332057276e+01
7.367954559661632175e+02 1.865544406504315589e+01
8.286427728546844946e+02 1.910021693560670286e+01
9.319395762340777765e+02 1.946083002646538773e+01
1.048113134154686350e+03 2.019268256292865260e+01
