# r C
7.500000000000000000e-01 2.253367065651070145e-01
1.500000000000000000e+00 1.502445672436751034e-01
2.250000000000000000e+00 1.079357455230914309e-01
2.500000000000000000e+00 1.028777166698274237e-01
3.000000000000000000e+00 8.923985493708445904e-02
3.250000000000000000e+00 7.976064657959394677e-02
3.750000000000000000e+00 8.310430595179538193e-02
4.250000000000000000e+00 6.765978152929492950e-02
4.500000000000000000e+00 7.634176131522228681e-02
4.750000000000000000e+00 6.908877561320278526e-02
5.000000000000000000e+00 6.258064769647696257e-02
5.250000000000000000e+00 6.914211718870150181e-02
5.500000000000000000e+00 5.870899296939619677e-02
6.000000000000000000e+00 5.943336683978332063e-02
6.500000000000000000e+00 5.276052726310216656e-02
6.750000000000000000e+00 5.340078026034583702e-02
7.000000000000000000e+00 4.866139665407447079e-02
7.250000000000000000e+00 4.838836806406798807e-02
7.500000000000000000e+00 4.934003603456041387e-02
7.750000000000000000e+00 4.555515990295544437e-02
8.250000000000000000e+00 4.535290101881461061e-02
8.500000000000000000e+00 4.184539696813977666e-02
8.750000000000000000e+00 4.039143537955293406e-02
9.000000000000000000e+00 4.024024784946236832e-02
9.250000000000000000e+00 3.910081514836624000e-02
9.500000000000000000e+00 3.703692807424593947e-02
9.750000000000000000e+00 3.575208621295537098e-02
1.000000000000000000e+01 3.318248755039127779e-02
1.025000000000000000e+01 3.360986314299197614e-02
1.050000000000000000e+01 3.350438648382182000e-02
1.075000000000000000e+01 3.155359806996381467e-02
1.100000000000000000e+01 3.173445701082330123e-02
1.125000000000000000e+01 3.019212565239763960e-02
1.150000000000000000e+01 2.873453813769192428e-02
1.175000000000000000e+01 2.839290750000000169e-02
1.200000000000000000e+01 2.792248182866308853e-02
1.225000000000000000e+01 2.675003866110489681e-02
1.250000000000000000e+01 2.644046399594320376e-02
1.275000000000000000e+01 2.573449170213373827e-02
1.300000000000000000e+01 2.490743577767398631e-02
1.325000000000000000e+01 2.432078138175276794e-02
1.350000000000000000e+01 2.371541186077370800e-02
1.375000000000000000e+01 2.305254193049446551e-02
1.400000000000000000e+01 2.221670592466061522e-02
1.425000000000000000e+01 2.207600356486982829e-02
1.450000000000000000e+01 2.137342066957787640e-02
1.475000000000000000e+01 2.125670263073320757e-02
1.500000000000000000e+01 2.073531718347807265e-02
1.525000000000000000e+01 2.015158609847847102e-02
1.550000000000000000e+01 1.988150475995496130e-02
1.575000000000000000e+01 1.944784882248670396e-02
1.600000000000000000e+01 1.882660224170139285e-02
1.625000000000000000e+01 1.844602845803891208e-02
1.650000000000000000e+01 1.826837112283848791e-02
1.675000000000000000e+01 1.769923970588235460e-02
1.700000000000000000e+01 1.756841045798344242e-02
1.725000000000000000e+01 1.706445809474232272e-02
1.750000000000000000e+01 1.672078467153284564e-02
1.775000000000000000e+01 1.632949974580579292e-02
1.800000000000000000e+01 1.606045077962357098e-02
1.825000000000000000e+01 1.580008515967439020e-02
1.850000000000000000e+01 1.549715326170031035e-02
1.875000000000000000e+01 1.495020695495686072e-02
1.900000000000000000e+01 1.478664112388250289e-02
1.925000000000000000e+01 1.475466554425953515e-02
1.950000000000000000e+01 1.424683118291228574e-02
1.975000000000000000e+01 1.402158523409363818e-02
2.000000000000000000e+01 1.379633656741384960e-02
2.025000000000000000e+01 1.330260216884746396e-02
2.050000000000000000e+01 1.320252836304700202e-02
2.075000000000000000e+01 1.303364554295979513e-02
2.100000000000000000e+01 1.263386421235160664e-02
2.125000000000000000e+01 1.248572595704948787e-02
2.150000000000000000e+01 1.224156704425194940e-02
2.175000000000000000e+01 1.185357633826286325e-02
2.200000000000000000e+01 1.168445546534415888e-02
2.225000000000000000e+01 1.164800122100122064e-02
2.250000000000000000e+01 1.120252591460222519e-02
2.275000000000000000e+01 1.109882786308513669e-02
2.300000000000000000e+01 1.110145022455089926e-02
2.325000000000000000e+01 1.058511353254451039e-02
2.350000000000000000e+01 1.051763362089739272e-02
2.375000000000000000e+01 1.022457388316151163e-02
2.400000000000000000e+01 1.002513766114180443e-02
2.425000000000000000e+01 9.881538055200950188e-03
2.450000000000000000e+01 9.824588437321122442e-03
2.475000000000000000e+01 9.388006771255542893e-03
2.500000000000000000e+01 9.338172509829619980e-03
2.525000000000000000e+01 9.173480396534785392e-03
2.550000000000000000e+01 9.009164241522775798e-03
2.575000000000000000e+01 8.880800239174847788e-03
2.600000000000000000e+01 8.709225986277872866e-03
2.625000000000000000e+01 8.393990967582282137e-03
2.650000000000000000e+01 8.381566510735277004e-03
2.675000000000000000e+01 8.241121541259154373e-03
2.700000000000000000e+01 8.038190493291947833e-03
2.725000000000000000e+01 7.974129673137958507e-03
2.750000000000000000e+01 7.810496029321930406e-03
2.775000000000000000e+01 7.617200185931205514e-03
2.800000000000000000e+01 7.516016158130049349e-03
2.825000000000000000e+01 7.301326851587074639e-03
2.850000000000000000e+01 7.251321805784570820e-03
2.875000000000000000e+01 7.038525890525693454e-03
2.900000000000000000e+01 7.036568482255498545e-03
2.925000000000000000e+01 6.830223797410466501e-03
2.950000000000000000e+01 6.778783060694083470e-03
2.975000000000000000e+01 6.583345589688847227e-03
3.000000000000000000e+01 6.431470211307483559e-03
3.025000000000000000e+01 6.326323865836061718e-03
3.050000000000000000e+01 6.292992779228760367e-03
3.075000000000000000e+01 6.050729242899974790e-03
3.100000000000000000e+01 6.064797563409126888e-03
3.125000000000000000e+01 5.843935286869876566e-03
3.150000000000000000e+01 5.797963085036255543e-03
3.175000000000000000e+01 5.757302277962630943e-03
3.200000000000000000e+01 5.656046159329887468e-03
3.225000000000000000e+01 5.482226766399397704e-03
3.250000000000000000e+01 5.467916207276736322e-03
3.275000000000000000e+01 5.429941473025438892e-03
3.300000000000000000e+01 5.267478130166841632e-03
3.325000000000000000e+01 5.238686033519553663e-03
3.350000000000000000e+01 5.194552037484027017e-03
3.375000000000000000e+01 4.940417838724801315e-03
3.400000000000000000e+01 4.973714661406968864e-03
3.425000000000000000e+01 4.963262270040512056e-03
3.450000000000000000e+01 4.832772214548803139e-03
3.475000000000000000e+01 4.687908992416034946e-03
3.500000000000000000e+01 4.722702002590415359e-03
3.525000000000000000e+01 4.492251742980968472e-03
3.550000000000000000e+01 4.381822581475570445e-03
3.575000000000000000e+01 4.452572140032224658e-03
3.600000000000000000e+01 4.334987447964663843e-03
3.625000000000000000e+01 4.345178622698002424e-03
3.650000000000000000e+01 4.125177874032521542e-03
3.675000000000000000e+01 4.183959025660351563e-03
3.700000000000000000e+01 4.014326923076923410e-03
3.725000000000000000e+01 4.009062573236465976e-03
3.750000000000000000e+01 4.003747494371974122e-03
3.775000000000000000e+01 3.887106148450361794e-03
3.800000000000000000e+01 4.028760104123852923e-03
3.825000000000000000e+01 3.701925806314537281e-03
3.850000000000000000e+01 3.932494763092268981e-03
3.875000000000000000e+01 3.730847857202997629e-03
3.900000000000000000e+01 3.661718421052632001e-03
3.925000000000000000e+01 3.762042482617847759e-03
3.950000000000000000e+01 3.718379602283914103e-03
3.975000000000000000e+01 3.574787755102040634e-03
4.000000000000000000e+01 3.347620774511073701e-03
4.025000000000000000e+01 3.654641870105941864e-03
4.050000000000000000e+01 3.476562757032406695e-03
4.075000000000000000e+01 3.379910672853828069e-03
4.100000000000000000e+01 3.518803942063610749e-03
4.125000000000000000e+01 3.380345493680666970e-03
4.150000000000000000e+01 3.409275206556055919e-03
4.175000000000000000e+01 3.306297695964890895e-03
4.200000000000000000e+01 3.402913741026948602e-03
4.225000000000000000e+01 3.418543615676359303e-03
4.250000000000000000e+01 3.384458930899608611e-03
4.275000000000000000e+01 3.202627582553416955e-03
4.300000000000000000e+01 3.551173211666938234e-03
4.325000000000000000e+01 3.422954380883417875e-03
4.350000000000000000e+01 3.390662137547383222e-03
