# r C
7.500000000000000000e-01 3.325710409865796358e-01
1.500000000000000000e+00 2.877689155200473525e-01
2.250000000000000000e+00 2.583637360980207687e-01
2.500000000000000000e+00 2.601512459700360269e-01
3.000000000000000000e+00 2.312020781361613375e-01
3.250000000000000000e+00 2.097269002974266050e-01
3.750000000000000000e+00 2.061929601574028492e-01
4.250000000000000000e+00 1.926643455809334826e-01
4.500000000000000000e+00 1.899214385243847558e-01
4.750000000000000000e+00 1.821304774401937832e-01
5.000000000000000000e+00 1.700188292682926761e-01
5.250000000000000000e+00 1.755194114933101013e-01
5.500000000000000000e+00 1.635055004135649304e-01
6.000000000000000000e+00 1.607663198749092470e-01
6.500000000000000000e+00 1.529689401799894100e-01
6.750000000000000000e+00 1.499964157761802808e-01
7.000000000000000000e+00 1.476428861305990325e-01
7.250000000000000000e+00 1.419017177412764674e-01
7.500000000000000000e+00 1.421628598337496552e-01
7.750000000000000000e+00 1.373297198941332009e-01
8.250000000000000000e+00 1.344085587863464160e-01
8.500000000000000000e+00 1.295890557553956712e-01
8.750000000000000000e+00 1.296243730852150167e-01
9.000000000000000000e+00 1.264756322580645187e-01
9.250000000000000000e+00 1.251517007273987014e-01
9.500000000000000000e+00 1.215331090487238863e-01
9.750000000000000000e+00 1.201176736558509928e-01
1.000000000000000000e+01 1.172489566042210080e-01
1.025000000000000000e+01 1.135619065596979588e-01
1.050000000000000000e+01 1.156418911893878215e-01
1.075000000000000000e+01 1.121170151990349834e-01
1.100000000000000000e+01 1.121928541894685605e-01
1.125000000000000000e+01 1.095765107446521752e-01
1.150000000000000000e+01 1.070587295690936108e-01
1.175000000000000000e+01 1.056723075000000067e-01
1.200000000000000000e+01 1.047294109980450166e-01
1.225000000000000000e+01 1.032098260250279842e-01
1.250000000000000000e+01 1.002792317444219095e-01
1.275000000000000000e+01 1.007784981004884450e-01
1.300000000000000000e+01 9.888213192173958554e-02
1.325000000000000000e+01 9.724289954466243391e-02
1.350000000000000000e+01 9.654020516484637660e-02
1.375000000000000000e+01 9.452619942964859967e-02
1.400000000000000000e+01 9.326817585183853898e-02
1.425000000000000000e+01 9.258779896294695722e-02
1.450000000000000000e+01 9.120557132459970739e-02
1.475000000000000000e+01 9.009682475552086012e-02
1.500000000000000000e+01 8.937907575356636436e-02
1.525000000000000000e+01 8.780120936499916096e-02
1.550000000000000000e+01 8.652958337598526395e-02
1.575000000000000000e+01 8.589640098759178388e-02
1.600000000000000000e+01 8.446455597068544541e-02
1.625000000000000000e+01 8.291671087019648889e-02
1.650000000000000000e+01 8.285041780521891497e-02
1.675000000000000000e+01 8.159338382352941677e-02
1.700000000000000000e+01 8.077573581085104037e-02
1.725000000000000000e+01 7.980936543466944644e-02
1.750000000000000000e+01 7.880661800486617186e-02
1.775000000000000000e+01 7.755315709201830721e-02
1.800000000000000000e+01 7.698918341334919091e-02
1.825000000000000000e+01 7.600142141515341121e-02
1.850000000000000000e+01 7.503897765589173652e-02
1.875000000000000000e+01 7.440408405229449740e-02
1.900000000000000000e+01 7.304074886799025168e-02
1.925000000000000000e+01 7.263682963154827199e-02
1.950000000000000000e+01 7.200927810907513382e-02
1.975000000000000000e+01 7.078228091236495045e-02
2.000000000000000000e+01 7.021815322850451235e-02
2.025000000000000000e+01 6.928237004839576940e-02
2.050000000000000000e+01 6.881174955216241840e-02
2.075000000000000000e+01 6.759259369386111382e-02
2.100000000000000000e+01 6.733234538259748325e-02
2.125000000000000000e+01 6.676352941176470768e-02
2.150000000000000000e+01 6.538363579351703925e-02
2.175000000000000000e+01 6.511999404885887577e-02
2.200000000000000000e+01 6.403858736951566211e-02
2.225000000000000000e+01 6.368319169719169337e-02
2.250000000000000000e+01 6.296278390886436704e-02
2.275000000000000000e+01 6.207627084971648057e-02
2.300000000000000000e+01 6.210317739520957586e-02
2.325000000000000000e+01 6.089580364106334659e-02
2.350000000000000000e+01 6.038614776615740254e-02
2.375000000000000000e+01 5.945418728522337132e-02
2.400000000000000000e+01 5.921806261510129121e-02
2.425000000000000000e+01 5.831287846106440048e-02
2.450000000000000000e+01 5.744395306239267335e-02
2.475000000000000000e+01 5.733479042487244631e-02
2.500000000000000000e+01 5.639905963302752068e-02
2.525000000000000000e+01 5.565451638831829528e-02
2.550000000000000000e+01 5.574215740800620572e-02
2.575000000000000000e+01 5.482957695948975640e-02
2.600000000000000000e+01 5.431419382504288490e-02
2.625000000000000000e+01 5.371255444196980366e-02
2.650000000000000000e+01 5.324595737875334467e-02
2.675000000000000000e+01 5.233629822578266672e-02
2.700000000000000000e+01 5.244355026550034243e-02
2.725000000000000000e+01 5.170738139400684469e-02
2.750000000000000000e+01 5.119471472205253115e-02
2.775000000000000000e+01 5.059755138931928964e-02
2.800000000000000000e+01 5.001423327319790002e-02
2.825000000000000000e+01 4.925597597941092087e-02
2.850000000000000000e+01 4.940963411916752396e-02
2.875000000000000000e+01 4.879308173621717259e-02
2.900000000000000000e+01 4.800742691020788711e-02
2.925000000000000000e+01 4.772345042444336299e-02
2.950000000000000000e+01 4.729369719207052875e-02
2.975000000000000000e+01 4.658172142490017015e-02
3.000000000000000000e+01 4.679062200101332530e-02
3.025000000000000000e+01 4.584649069088093942e-02
3.050000000000000000e+01 4.569768781686894821e-02
3.075000000000000000e+01 4.505550367100261827e-02
3.100000000000000000e+01 4.438036443837630601e-02
3.125000000000000000e+01 4.393442438527883631e-02
3.150000000000000000e+01 4.411115688859591766e-02
3.175000000000000000e+01 4.377598157153826663e-02
3.200000000000000000e+01 4.284776064872571760e-02
3.225000000000000000e+01 4.263558198353333689e-02
3.250000000000000000e+01 4.229693695499649186e-02
3.275000000000000000e+01 4.156486990786347618e-02
3.300000000000000000e+01 4.170098241394859517e-02
3.325000000000000000e+01 4.115215731843575864e-02
3.350000000000000000e+01 4.106871645605565668e-02
3.375000000000000000e+01 4.023120604781997567e-02
3.400000000000000000e+01 3.995678500986193232e-02
3.425000000000000000e+01 3.987398552168426591e-02
3.450000000000000000e+01 3.949811464088397867e-02
3.475000000000000000e+01 3.902842017137791303e-02
3.500000000000000000e+01 3.879286938328185830e-02
3.525000000000000000e+01 3.825217109478047661e-02
3.550000000000000000e+01 3.781907944189877996e-02
3.575000000000000000e+01 3.758592500366193107e-02
3.600000000000000000e+01 3.763321872318789452e-02
3.625000000000000000e+01 3.708690291620524160e-02
3.650000000000000000e+01 3.675333096641340835e-02
3.675000000000000000e+01 3.646120661893179071e-02
3.700000000000000000e+01 3.605048656163114401e-02
3.725000000000000000e+01 3.556655612842746228e-02
3.750000000000000000e+01 3.580271810528263404e-02
3.775000000000000000e+01 3.537896929353660791e-02
3.800000000000000000e+01 3.513263734758186041e-02
3.825000000000000000e+01 3.454517571070411797e-02
3.850000000000000000e+01 3.462167581047381759e-02
3.875000000000000000e+01 3.407730908478572018e-02
3.900000000000000000e+01 3.398485986842105649e-02
3.925000000000000000e+01 3.391682082031000772e-02
3.950000000000000000e+01 3.342270131915731080e-02
3.975000000000000000e+01 3.308004081632653220e-02
4.000000000000000000e+01 3.256905064110866832e-02
4.025000000000000000e+01 3.299378972823583528e-02
4.050000000000000000e+01 3.263092367165652125e-02
4.075000000000000000e+01 3.215283642691415394e-02
4.100000000000000000e+01 3.221938479916380133e-02
4.125000000000000000e+01 3.184617362989126954e-02
4.150000000000000000e+01 3.148548397931080767e-02
4.175000000000000000e+01 3.118156528099476008e-02
4.200000000000000000e+01 3.135945867493037525e-02
4.225000000000000000e+01 3.117426548672566286e-02
4.250000000000000000e+01 3.084426259682490970e-02
4.275000000000000000e+01 3.033338042262640616e-02
4.300000000000000000e+01 3.076203519635000577e-02
4.325000000000000000e+01 3.042636575750261307e-02
4.350000000000000000e+01 2.988652094717668753e-02
4.375000000000000000e+01 3.040886124209893002e-02
4.400000000000000000e+01 2.980932894354604290e-02
4.425000000000000000e+01 2.909996751991338407e-02
4.450000000000000000e+01 2.945531793736159629e-02
4.475000000000000000e+01 3.000110207549460187e-02
4.500000000000000000e+01 3.423984949931859617e-02
4.525000000000000000e+01 3.126590865105476763e-02
4.550000000000000000e+01 3.191277938403519476e-02
4.575000000000000000e+01 2.854641363744357327e-02
4.600000000000000000e+01 2.872531005418422351e-02
4.625000000000000000e+01 3.061332673267326901e-02
4.650000000000000000e+01 2.693235025517056250e-02
4.675000000000000000e+01 2.878556665957899413e-02
4.700000000000000000e+01 2.852994268246083348e-02
4.725000000000000000e+01 2.727809815950920508e-02
4.750000000000000000e+01 2.820596940884663104e-02
4.775000000000000000e+01 2.721028124999999923e-02
4.800000000000000000e+01 2.805887945670628228e-02
4.825000000000000000e+01 2.680959446092976914e-02
4.850000000000000000e+01 2.818064489286457169e-02
4.875000000000000000e+01 2.735281658316141007e-02
4.900000000000000000e+01 2.721937708129285038e-02
4.925000000000000000e+01 2.751553587245349555e-02
4.950000000000000000e+01 2.492965843280936164e-02
4.975000000000000000e+01 2.989927137546468175e-02
5.000000000000000000e+01 3.133095145631067946e-02
5.025000000000000000e+01 2.543580816622372301e-02
5.050000000000000000e+01 3.212503000260892583e-02
5.075000000000000000e+01 2.588837366892545941e-02
5.100000000000000000e+01 2.643883569405099110e-02
5.125000000000000000e+01 2.558297435897436203e-02
5.150000000000000000e+01 3.557967609113368151e-02
5.175000000000000000e+01 2.957340376488666947e-02
5.200000000000000000e+01 2.763035864978902884e-02
5.225000000000000000e+01 3.202064981949458156e-02
5.250000000000000000e+01 2.547335154116269970e-02
5.275000000000000000e+01 2.748875242907112409e-02
5.300000000000000000e+01 2.757321818181818207e-02
5.325000000000000000e+01 2.371589779005525006e-02
5.350000000000000000e+01 2.359194070080862862e-02
5.375000000000000000e+01 2.508642744063324659e-02
5.400000000000000000e+01 2.233945374015748261e-02
5.425000000000000000e+01 2.359701617735170814e-02
5.450000000000000000e+01 2.380723716381417943e-02
5.475000000000000000e+01 2.196691663876799289e-02
5.500000000000000000e+01 2.161572672471533813e-02
5.525000000000000000e+01 2.212243822075782643e-02
5.550000000000000000e+01 2.169662853297442753e-02
5.575000000000000000e+01 2.218630293159609343e-02
5.600000000000000000e+01 2.160320000000000296e-02
5.625000000000000000e+01 2.083414495499763194e-02
5.650000000000000000e+01 2.024520037278658077e-02
5.675000000000000000e+01 2.002998716302952648e-02
5.700000000000000000e+01 2.261276288659793895e-02
5.725000000000000000e+01 2.049319018404907947e-02
5.750000000000000000e+01 1.902077795786061634e-02
5.775000000000000000e+01 2.074428958051420871e-02
5.800000000000000000e+01 1.997345911949685582e-02
5.825000000000000000e+01 1.952074626865671694e-02
5.850000000000000000e+01 2.269548664944013444e-02
5.875000000000000000e+01 1.934754590984975181e-02
5.900000000000000000e+01 1.899180327868852519e-02
5.925000000000000000e+01 2.108665945945946071e-02
5.950000000000000000e+01 1.827529411764705972e-02
5.975000000000000000e+01 2.007713554987212295e-02
6.000000000000000000e+01 2.269608815426997495e-02
6.025000000000000000e+01 2.178338028169014146e-02
6.050000000000000000e+01 1.935772151898734056e-02
6.075000000000000000e+01 1.990134831460674270e-02
6.100000000000000000e+01 1.991806788511749429e-02
6.125000000000000000e+01 1.967801724137930794e-02
6.150000000000000000e+01 2.589503916449086354e-02
6.175000000000000000e+01 2.056187683284457432e-02
6.200000000000000000e+01 1.945301724137930843e-02
6.225000000000000000e+01 2.391124183006535994e-02
6.250000000000000000e+01 1.910267241379310157e-02
6.275000000000000000e+01 2.385364864864865028e-02
6.300000000000000000e+01 2.299509803921568479e-02
6.325000000000000000e+01 2.818446043165467527e-02
6.350000000000000000e+01 2.257527027027026942e-02
6.375000000000000000e+01 2.261814814814814764e-02
6.400000000000000000e+01 3.004949999999999982e-02
6.425000000000000000e+01 2.493520000000000111e-02
6.450000000000000000e+01 2.338000000000000148e-02
6.475000000000000000e+01 2.297848101265822715e-02
6.500000000000000000e+01 3.383444444444444477e-02
6.525000000000000000e+01 4.365800000000000236e-02
6.550000000000000000e+01 5.404250000000000026e-02
6.575000000000000000e+01 2.202315789473684171e-02
6.600000000000000000e+01 1.777538461538461304e-02
6.625000000000000000e+01 7.032315789473683743e-02
6.650000000000000000e+01 5.960428571428571382e-02
6.675000000000000000e+01 1.965894736842105361e-02
6.700000000000000000e+01 1.965499999999999886e-02
6.725000000000000000e+01 1.932000000000000037e-02
6.750000000000000000e+01 1.452999999999999951e-02
6.775000000000000000e+01 2.484000000000000097e-02
6.800000000000000000e+01 4.546000000000000041e-02
6.825000000000000000e+01 1.084000000000000068e-02
6.850000000000000000e+01 1.084000000000000068e-02
