epsilon,fraction,error
0.66,0.10785026418203,0.011229029977952
0.7,0.0779693893601192,0.0510831336606345
0.74,0.113153270371644,0.0405457171011835
0.77,0.18912494120903,0.0306592081301795
0.84,0.483986443712398,0.0186786580245552
0.99,0.600298382962928,0.0307754782907592
1.07,0.568329816696634,0.0336009444551748
1.14,0.604403430503453,0.0384972494202561
1.22,0.499805453350425,0.0573438761008722
1.3,0.549336891104208,0.026744881674246
1.37,0.531926800301729,0.0139255148542959
1.44,0.581776904719435,0.0113194061560436
