# K=5
# L Rg
1.053724972736073084e+01 7.745970002083126804e-01
1.169989106589065919e+01 9.128710000003673608e-01
1.299081396906347408e+01 nan
1.442417255241065810e+01 9.914610318667470557e-01
1.601568264445835510e+01 1.123260000000258829e+00
1.778279410038922848e+01 1.169492848300401455e+00
1.974488212815936450e+01 1.329635940766070279e+00
2.192345972483446914e+01 1.380253970632928651e+00
2.434241355236920512e+01 1.513335712346654205e+00
2.702826583905163460e+01 1.476066051955598146e+00
3.001046517818873482e+01 1.626900552807820644e+00
3.332170941244817897e+01 1.766494050365218671e+00
3.699830414406963541e+01 1.873106272348344259e+00
4.108056080177274083e+01 1.988442850765874237e+00
4.561323862890213832e+01 2.112409879390981793e+00
5.064603543891708881e+01 2.209851065310359353e+00
5.623413251903490817e+01 2.356959264180731317e+00
6.243879965653627551e+01 2.508991779757715701e+00
6.932806692144527005e+01 2.645306950025006820e+00
7.697747057123714853e+01 2.822738470738348493e+00
8.547088125592514984e+01 3.030126548839758627e+00
9.490142360424729873e+01 3.233871244013150736e+00
1.053724972736073084e+02 3.422851831845629356e+00
1.169989106589065955e+02 3.642508416034416108e+00
1.299081396906348118e+02 3.854728341390008417e+00
1.442417255241066414e+02 4.083329179351406601e+00
1.601568264445835439e+02 4.344559523927045142e+00
1.778279410038922776e+02 4.615110491474408327e+00
1.974488212815936663e+02 4.909546966528389511e+00
2.192345972483447838e+02 5.211935769781613992e+00
2.434241355236920867e+02 5.534759187338747388e+00
2.702826583905163602e+02 5.864852430573131770e+00
3.001046517818873554e+02 6.232851687198789570e+00
3.332170941244818323e+02 6.623274452703020287e+00
3.699830414406964110e+02 7.022892277584244169e+00
4.108056080177276499e+02 7.452625639327590257e+00
4.561323862890214969e+02 7.921941009707854420e+00
5.064603543891709023e+02 8.401039655506840731e+00
5.623413251903490391e+02 8.917712319646961205e+00
6.243879965653625277e+02 9.471928437224624631e+00
6.932806692144527005e+02 1.006603560981420387e+01
7.697747057123714285e+02 1.068641047745245665e+01
8.547088125592514416e+02 1.134248840227136412e+01
9.490142360424729304e+02 1.204677465858635266e+01
1.053724972736073141e+03 1.278768834143540900e+01
1.169989106589066068e+03 1.356382613167431117e+01
1.299081396906347436e+03 1.437754838609314234e+01
1.442417255241065732e+03 1.528764344355772131e+01
1.601568264445835666e+03 1.624649831825969315e+01
1.778279410038923743e+03 1.722544206518080756e+01
1.974488212815937914e+03 1.830345591908093894e+01
2.192345972483447895e+03 1.943000711830413607e+01
2.434241355236920754e+03 2.064341564778460381e+01
2.702826583905163716e+03 2.186784301211351078e+01
3.001046517818873326e+03 2.325086925313278741e+01
3.332170941244818096e+03 2.472159548093340575e+01
3.699830414406963882e+03 2.619730070413525880e+01
4.108056080177274453e+03 2.777964386141474051e+01
4.561323862890215423e+03 2.953692075871049028e+01
5.064603543891711524e+03 3.135802828487288707e+01
5.623413251903493801e+03 3.330072943667934027e+01
6.243879965653628460e+03 3.532717996214801559e+01
6.932806692144527005e+03 3.768613187693893707e+01
7.697747057123714512e+03 3.974486202080230868e+01
8.547088125592514189e+03 4.230007523409751968e+01
9.490142360424730214e+03 4.482256045330207428e+01
1.053724972736072414e+04 4.766354823739413149e+01
1.169989106589065159e+04 5.058490094741832621e+01
1.299081396906347982e+04 5.394105080960366649e+01
1.442417255241066232e+04 5.698776702573301378e+01
1.601568264445835484e+04 6.035359533101040341e+01
1.778279410038924470e+04 6.397127029548988730e+01
1.974488212815938823e+04 6.815249678858165794e+01
2.192345972483446167e+04 7.221694511848335196e+01
2.434241355236919117e+04 7.609730136518763288e+01
2.702826583905164807e+04 8.128185296251520242e+01
3.001046517818875145e+04 8.700245465465452810e+01
3.332170941244816640e+04 9.167086772655002846e+01
3.699830414406962518e+04 9.874506258278148607e+01
4.108056080177275726e+04 1.044091447368421370e+02
4.561323862890215241e+04 1.111538444954128835e+02
5.064603543891708978e+04 1.175506617577197801e+02
5.623413251903496712e+04 1.264914670918367392e+02
6.243879965653631371e+04 1.340146994750655267e+02
6.932806692144523549e+04 1.436655192802056717e+02
7.697747057123709237e+04 1.507677369727047392e+02
8.547088125592518190e+04 1.599695852534563016e+02
9.490142360424734943e+04 1.725931827956990503e+02
1.053724972736073541e+05 1.823703165735568064e+02
1.169989106589066505e+05 1.912989017980635822e+02
1.299081396906348091e+05 2.017795986394555712e+02
1.442417255241066450e+05 2.092620390000001578e+02
1.601568264445835375e+05 2.148299618834079183e+02
1.778279410038922797e+05 2.194234004854369005e+02
1.974488212815936713e+05 2.123058965517241177e+02
2.192345972483446531e+05 nan
2.434241355236919480e+05 nan
2.702826583905164734e+05 nan
3.001046517818875145e+05 nan
