# K=5
# r C
2.500000000000000000e-01 3.336662770784635246e-01
5.000000000000000000e-01 3.319245856146403884e-01
7.500000000000000000e-01 3.392068159469324717e-01
1.000000000000000000e+00 3.000528592143202333e-01
1.250000000000000000e+00 2.734010733512225455e-01
1.500000000000000000e+00 2.333055100918348668e-01
1.750000000000000000e+00 2.211800335561148467e-01
2.000000000000000000e+00 2.081563426057101152e-01
2.250000000000000000e+00 2.116158310971849588e-01
2.500000000000000000e+00 1.928798446640777320e-01
2.750000000000000000e+00 1.820290379839663852e-01
3.000000000000000000e+00 1.767702302614134469e-01
3.250000000000000000e+00 1.693050354906388277e-01
3.500000000000000000e+00 1.632069813590837359e-01
3.750000000000000000e+00 1.583264881795649059e-01
4.000000000000000000e+00 1.519296588276471405e-01
4.250000000000000000e+00 1.491371090559842627e-01
4.500000000000000000e+00 1.443853678811313490e-01
4.750000000000000000e+00 1.414311894781579704e-01
5.000000000000000000e+00 1.369717525053989193e-01
5.250000000000000000e+00 1.349639714233332455e-01
5.500000000000000000e+00 1.313207391998199858e-01
5.750000000000000000e+00 1.285762623821508077e-01
6.000000000000000000e+00 1.255251260854347573e-01
6.250000000000000000e+00 1.230713690041447123e-01
6.500000000000000000e+00 1.209385151366530464e-01
6.750000000000000000e+00 1.185449326116219532e-01
7.000000000000000000e+00 1.166123018716978682e-01
7.250000000000000000e+00 1.142894695928605153e-01
7.500000000000000000e+00 1.125008522872548988e-01
7.750000000000000000e+00 1.108398217351241610e-01
8.000000000000000000e+00 1.088589533509769086e-01
8.250000000000000000e+00 1.076686040600676603e-01
8.500000000000000000e+00 1.057508102146530043e-01
8.750000000000000000e+00 1.044984272886029519e-01
9.000000000000000000e+00 1.029086427302523948e-01
9.250000000000000000e+00 1.016660699553325886e-01
9.500000000000000000e+00 1.002827400193511964e-01
9.750000000000000000e+00 9.876067645999228595e-02
1.000000000000000000e+01 9.770747045784096418e-02
1.025000000000000000e+01 9.636143878260040874e-02
1.050000000000000000e+01 9.539802586453363653e-02
1.075000000000000000e+01 9.424126259947469830e-02
1.100000000000000000e+01 9.318528919926442888e-02
1.125000000000000000e+01 9.225709068835356852e-02
1.150000000000000000e+01 9.116396023267055171e-02
1.175000000000000000e+01 9.028611726862113829e-02
1.200000000000000000e+01 8.922513993654279663e-02
1.225000000000000000e+01 8.831326121060351086e-02
1.250000000000000000e+01 8.751717919256986333e-02
1.275000000000000000e+01 8.662660652187340049e-02
1.300000000000000000e+01 8.581164625101475596e-02
1.325000000000000000e+01 8.487971813940993482e-02
1.350000000000000000e+01 8.412389927993685346e-02
1.375000000000000000e+01 8.336188615964111592e-02
1.400000000000000000e+01 8.268467283978542248e-02
1.425000000000000000e+01 8.196270957558143833e-02
1.450000000000000000e+01 8.117378792279689170e-02
1.475000000000000000e+01 8.058238411116376565e-02
1.500000000000000000e+01 7.986029320000861964e-02
1.525000000000000000e+01 7.929918559976224801e-02
1.550000000000000000e+01 7.855861011442108466e-02
1.575000000000000000e+01 7.795550785221419532e-02
1.600000000000000000e+01 7.740572938120396373e-02
1.625000000000000000e+01 7.673455311556780234e-02
1.650000000000000000e+01 7.620741979032984170e-02
1.675000000000000000e+01 7.560268147326264232e-02
1.700000000000000000e+01 7.513181324339902878e-02
1.725000000000000000e+01 7.455603120596226985e-02
1.750000000000000000e+01 7.406436338332911262e-02
1.775000000000000000e+01 7.356616893614893737e-02
1.800000000000000000e+01 7.296866029638506002e-02
1.825000000000000000e+01 7.254636723112051211e-02
1.850000000000000000e+01 7.201968218287509160e-02
1.875000000000000000e+01 7.154603680894680573e-02
1.900000000000000000e+01 7.108390986623970564e-02
1.925000000000000000e+01 7.058491624860414870e-02
1.950000000000000000e+01 7.020356717483752784e-02
1.975000000000000000e+01 6.968133316110823594e-02
2.000000000000000000e+01 6.931295181450303211e-02
2.025000000000000000e+01 6.887148146913560365e-02
2.050000000000000000e+01 6.850444514984341260e-02
2.075000000000000000e+01 6.807760757551087338e-02
2.100000000000000000e+01 6.768739526161914044e-02
2.125000000000000000e+01 6.731897087173675798e-02
2.150000000000000000e+01 6.686946436481013001e-02
2.175000000000000000e+01 6.652200808285076150e-02
2.200000000000000000e+01 6.616655927316303365e-02
2.225000000000000000e+01 6.581006885829049358e-02
2.250000000000000000e+01 6.545115510379279078e-02
2.275000000000000000e+01 6.506577700774179851e-02
2.300000000000000000e+01 6.476491714255842858e-02
2.325000000000000000e+01 6.439485812858786185e-02
2.350000000000000000e+01 6.408459224320404990e-02
2.375000000000000000e+01 6.375059437265130635e-02
2.400000000000000000e+01 6.342503888953704427e-02
2.425000000000000000e+01 6.313392589925169440e-02
2.450000000000000000e+01 6.277841360646634061e-02
2.475000000000000000e+01 6.249751595322287218e-02
2.500000000000000000e+01 6.215091555447492533e-02
2.525000000000000000e+01 6.189203659356334875e-02
2.550000000000000000e+01 6.159982465432385645e-02
2.575000000000000000e+01 6.130086034220789265e-02
2.600000000000000000e+01 6.101827972853045290e-02
2.625000000000000000e+01 6.073636995512425585e-02
2.650000000000000000e+01 6.049393835135347813e-02
2.675000000000000000e+01 6.019741258508154447e-02
2.700000000000000000e+01 5.993543460466125433e-02
2.725000000000000000e+01 5.968171928715196306e-02
2.750000000000000000e+01 5.939070643032790670e-02
2.775000000000000000e+01 5.917185286421439844e-02
2.800000000000000000e+01 5.888030724206849004e-02
2.825000000000000000e+01 5.866665149974974874e-02
2.850000000000000000e+01 5.838715883289084807e-02
2.875000000000000000e+01 5.816934903460511952e-02
2.900000000000000000e+01 5.793731621017212535e-02
2.925000000000000000e+01 5.767528080200513135e-02
2.950000000000000000e+01 5.746933517268023456e-02
2.975000000000000000e+01 5.723393028772701813e-02
3.000000000000000000e+01 5.701664315178199549e-02
3.025000000000000000e+01 5.679383559405540294e-02
3.050000000000000000e+01 5.656571338799950416e-02
3.075000000000000000e+01 5.636608780436195426e-02
3.100000000000000000e+01 5.610236420607010027e-02
3.125000000000000000e+01 5.592524913397589614e-02
3.150000000000000000e+01 5.569325880809621737e-02
3.175000000000000000e+01 5.551383033467224143e-02
3.200000000000000000e+01 5.529359319288317670e-02
3.225000000000000000e+01 5.509631463943202162e-02
3.250000000000000000e+01 5.491263649684016701e-02
3.275000000000000000e+01 5.470025663431386798e-02
3.300000000000000000e+01 5.451641349194900205e-02
3.325000000000000000e+01 5.432631395305864003e-02
3.350000000000000000e+01 5.414761944750361849e-02
3.375000000000000000e+01 5.396158552328073066e-02
3.400000000000000000e+01 5.376288113573822469e-02
3.425000000000000000e+01 5.358479743180905031e-02
3.450000000000000000e+01 5.339351315921271601e-02
3.475000000000000000e+01 5.323270679511325071e-02
3.500000000000000000e+01 5.305450608861499162e-02
3.525000000000000000e+01 5.288021838652265383e-02
3.550000000000000000e+01 5.271544360509457239e-02
3.575000000000000000e+01 5.253548913315221613e-02
3.600000000000000000e+01 5.238722518227537095e-02
3.625000000000000000e+01 5.219934631309275375e-02
3.650000000000000000e+01 5.205058991723936213e-02
3.675000000000000000e+01 5.188546324256919362e-02
3.700000000000000000e+01 5.171466699883594392e-02
3.725000000000000000e+01 5.156201600273584845e-02
3.750000000000000000e+01 5.139534847902226672e-02
3.775000000000000000e+01 5.124113790785402023e-02
3.800000000000000000e+01 5.108835028202850931e-02
3.825000000000000000e+01 5.094069883434226842e-02
3.850000000000000000e+01 5.079359627258155097e-02
3.875000000000000000e+01 5.063331378652229098e-02
3.900000000000000000e+01 5.050493043385585745e-02
3.925000000000000000e+01 5.035308192636544361e-02
3.950000000000000000e+01 5.022002483374723297e-02
3.975000000000000000e+01 5.006568088470766259e-02
4.000000000000000000e+01 4.993191075656504274e-02
4.025000000000000000e+01 4.979777850794867705e-02
4.050000000000000000e+01 4.964631934570704064e-02
4.075000000000000000e+01 4.952039728935958562e-02
4.100000000000000000e+01 4.937990843264754987e-02
4.125000000000000000e+01 4.925165385409484980e-02
4.150000000000000000e+01 4.912132133096527159e-02
4.175000000000000000e+01 4.899242810509427115e-02
4.200000000000000000e+01 4.886610610176835706e-02
4.225000000000000000e+01 4.872607305800775307e-02
4.250000000000000000e+01 4.860562581957010575e-02
4.275000000000000000e+01 4.847766462774379809e-02
4.300000000000000000e+01 4.835942398450003565e-02
4.325000000000000000e+01 4.823038221120479196e-02
4.350000000000000000e+01 4.810642925920110419e-02
4.375000000000000000e+01 4.799549302833208686e-02
4.400000000000000000e+01 4.786601832252759120e-02
4.425000000000000000e+01 4.775743944690744730e-02
4.450000000000000000e+01 4.764493522075132631e-02
4.475000000000000000e+01 4.752719211986866643e-02
4.500000000000000000e+01 4.741941653888676056e-02
4.525000000000000000e+01 4.732227479080122062e-02
4.550000000000000000e+01 4.718201339332777494e-02
4.575000000000000000e+01 4.707020398869392330e-02
4.600000000000000000e+01 4.696793830621814186e-02
4.625000000000000000e+01 4.686710043246853502e-02
4.650000000000000000e+01 4.674674350730862599e-02
4.675000000000000000e+01 4.664699570389665290e-02
4.700000000000000000e+01 4.653626160436007131e-02
4.725000000000000000e+01 4.644452786174688846e-02
4.750000000000000000e+01 4.631906387380593099e-02
4.775000000000000000e+01 4.623162230299466408e-02
4.800000000000000000e+01 4.613046446151231744e-02
4.825000000000000000e+01 4.602247977466291523e-02
4.850000000000000000e+01 4.593250525135014750e-02
4.875000000000000000e+01 4.583660807492331152e-02
4.900000000000000000e+01 4.571926918781979432e-02
4.925000000000000000e+01 4.562737276798325275e-02
4.950000000000000000e+01 4.552972456825350039e-02
4.975000000000000000e+01 4.543712307485826135e-02
5.000000000000000000e+01 4.533856529553269982e-02
5.025000000000000000e+01 4.524822993844769548e-02
5.050000000000000000e+01 4.514585016367919645e-02
5.075000000000000000e+01 4.506605844224387952e-02
5.100000000000000000e+01 4.496425946179562899e-02
5.125000000000000000e+01 4.489087069902863991e-02
5.150000000000000000e+01 4.478231567271921676e-02
5.175000000000000000e+01 4.471459123555367177e-02
5.200000000000000000e+01 4.459962125805545102e-02
5.225000000000000000e+01 4.453240769196253890e-02
5.250000000000000000e+01 4.441971770089071792e-02
5.275000000000000000e+01 4.435640903699746007e-02
5.300000000000000000e+01 4.426555987712577772e-02
5.325000000000000000e+01 4.419650761583317905e-02
5.350000000000000000e+01 4.409651656709390188e-02
5.375000000000000000e+01 4.402605812209546554e-02
5.400000000000000000e+01 4.393446552201446531e-02
5.425000000000000000e+01 4.386421409930350845e-02
5.450000000000000000e+01 4.377160386743098736e-02
5.475000000000000000e+01 4.369734623782191296e-02
5.500000000000000000e+01 4.361434227496606419e-02
5.525000000000000000e+01 4.354271618034592783e-02
5.550000000000000000e+01 4.344358092905151875e-02
5.575000000000000000e+01 4.339823202097228133e-02
5.600000000000000000e+01 4.328449002518836020e-02
5.625000000000000000e+01 4.323993863367318891e-02
5.650000000000000000e+01 4.314677717870177981e-02
5.675000000000000000e+01 4.310269504491742037e-02
5.700000000000000000e+01 4.299290410114430666e-02
5.725000000000000000e+01 4.293292328681668629e-02
5.750000000000000000e+01 4.286588201266768733e-02
5.775000000000000000e+01 4.279178727733697063e-02
5.800000000000000000e+01 4.272578475723132901e-02
5.825000000000000000e+01 4.266362973866786451e-02
5.850000000000000000e+01 4.256732946377704552e-02
5.875000000000000000e+01 4.251104377380648253e-02
5.900000000000000000e+01 4.243950162032901485e-02
5.925000000000000000e+01 4.238199594555008831e-02
5.950000000000000000e+01 4.229804712445971171e-02
5.975000000000000000e+01 4.225221965908734778e-02
6.000000000000000000e+01 4.216445352984679595e-02
6.025000000000000000e+01 4.210856841906269327e-02
