# K=5
# L PDF
1.053724972736073084e+01 2.467236648494047779e-01
1.169989106589065919e+01 3.554221044220921073e-04
1.299081396906347408e+01 0.000000000000000000e+00
1.442417255241065810e+01 1.321660147306090438e-01
1.601568264445835510e+01 3.331712798597402528e-04
1.778279410038922848e+01 7.281815092843990644e-02
1.974488212815936450e+01 2.436736528190338528e-04
2.192345972483446914e+01 2.364452581235098466e-02
2.434241355236920512e+01 1.518306163509533903e-04
2.702826583905163460e+01 2.046125390912779257e-02
3.001046517818873482e+01 1.293950986750107626e-02
3.332170941244817897e+01 7.458106575204449980e-03
3.699830414406963541e+01 6.305112283099018056e-03
4.108056080177274083e+01 4.587595977046378566e-03
4.561323862890213832e+01 3.113634620966010923e-03
5.064603543891708881e+01 2.518923540324211757e-03
5.623413251903490817e+01 3.476729430557878430e-03
6.243879965653627551e+01 1.302427014632890918e-03
6.932806692144527005e+01 1.871926623194682376e-03
7.697747057123714853e+01 1.338307155547785324e-03
8.547088125592514984e+01 1.379739578236816120e-03
9.490142360424729873e+01 6.607523508079019524e-04
1.053724972736073084e+02 7.142580261204557919e-04
1.169989106589065955e+02 5.160596088132360718e-04
1.299081396906348118e+02 3.828672480115333536e-04
1.442417255241066414e+02 3.647590493245123381e-04
1.601568264445835439e+02 2.656634502479533625e-04
1.778279410038922776e+02 2.333632105061582624e-04
1.974488212815936663e+02 1.718312592172974770e-04
2.192345972483447838e+02 1.434994500389724810e-04
2.434241355236920867e+02 1.058822973332831306e-04
2.702826583905163602e+02 8.715023783615264547e-05
3.001046517818873554e+02 7.305094642918113319e-05
3.332170941244818323e+02 5.587806680918984946e-05
3.699830414406964110e+02 4.270984846827254961e-05
4.108056080177276499e+02 3.691419277511147915e-05
4.561323862890214969e+02 2.896879846564301086e-05
5.064603543891709023e+02 2.318950508395691893e-05
5.623413251903490391e+02 1.918500586246201539e-05
6.243879965653625277e+02 1.444028995913164347e-05
6.932806692144527005e+02 1.220931388410149329e-05
7.697747057123714285e+02 9.269397682155331008e-06
8.547088125592514416e+02 7.875392003381779686e-06
9.490142360424729304e+02 6.200056145789666573e-06
1.053724972736073141e+03 4.894249719414665106e-06
1.169989106589066068e+03 3.707019332103320731e-06
1.299081396906347436e+03 3.150173559588594556e-06
1.442417255241065732e+03 2.503037057338374909e-06
1.601568264445835666e+03 1.904875853531635292e-06
1.778279410038923743e+03 1.680617239925395579e-06
1.974488212815937914e+03 1.336465349467882172e-06
2.192345972483447895e+03 9.625719749371467543e-07
2.434241355236920754e+03 7.375998396860191694e-07
2.702826583905163716e+03 6.312317177045210863e-07
3.001046517818873326e+03 5.270649742364250009e-07
3.332170941244818096e+03 4.513632196860042186e-07
3.699830414406963882e+03 4.023087054438856785e-07
4.108056080177274453e+03 3.471939710011802669e-07
4.561323862890215423e+03 3.092845247949473298e-07
5.064603543891711524e+03 3.153834079916068930e-07
5.623413251903493801e+03 3.317292079964581902e-07
6.243879965653628460e+03 3.379774761986444354e-07
6.932806692144527005e+03 4.254760899005074306e-07
7.697747057123714512e+03 4.538773701665381923e-07
8.547088125592514189e+03 4.406036288266128290e-07
9.490142360424730214e+03 3.665158685919257567e-07
1.053724972736072414e+04 1.456841476389461747e-07
1.169989106589065159e+04 2.125889222711558666e-08
1.299081396906347982e+04 5.983235630747514105e-10
1.442417255241066232e+04 0.000000000000000000e+00
1.601568264445835484e+04 0.000000000000000000e+00
1.778279410038924470e+04 0.000000000000000000e+00
1.974488212815938823e+04 0.000000000000000000e+00
2.192345972483446167e+04 0.000000000000000000e+00
2.434241355236919117e+04 0.000000000000000000e+00
2.702826583905164807e+04 0.000000000000000000e+00
3.001046517818875145e+04 0.000000000000000000e+00
3.332170941244816640e+04 0.000000000000000000e+00
3.699830414406962518e+04 0.000000000000000000e+00
4.108056080177275726e+04 0.000000000000000000e+00
4.561323862890215241e+04 0.000000000000000000e+00
5.064603543891708978e+04 0.000000000000000000e+00
5.623413251903496712e+04 0.000000000000000000e+00
6.243879965653631371e+04 0.000000000000000000e+00
6.932806692144523549e+04 0.000000000000000000e+00
7.697747057123709237e+04 0.000000000000000000e+00
8.547088125592518190e+04 0.000000000000000000e+00
9.490142360424734943e+04 0.000000000000000000e+00
1.053724972736073541e+05 0.000000000000000000e+00
1.169989106589066505e+05 0.000000000000000000e+00
1.299081396906348091e+05 0.000000000000000000e+00
1.442417255241066450e+05 0.000000000000000000e+00
1.601568264445835375e+05 0.000000000000000000e+00
1.778279410038922797e+05 0.000000000000000000e+00
1.974488212815936713e+05 0.000000000000000000e+00
2.192345972483446531e+05 0.000000000000000000e+00
2.434241355236919480e+05 0.000000000000000000e+00
2.702826583905164734e+05 0.000000000000000000e+00
3.001046517818875145e+05 0.000000000000000000e+00
