# L Rg
1.053724972736073084e+01 1.341639999999824306e+00
1.169989106589065919e+01 1.581139999999999990e+00
1.299081396906347408e+01 nan
1.442417255241065810e+01 1.719711344955269672e+00
1.601568264445835510e+01 nan
1.778279410038922848e+01 2.045674903671452771e+00
1.974488212815936450e+01 nan
2.192345972483446914e+01 2.432192077577028488e+00
2.434241355236920512e+01 2.644770000000000287e+00
2.702826583905163460e+01 2.623250211596667381e+00
3.001046517818873482e+01 2.920995439266607097e+00
3.332170941244817897e+01 3.189625545454545019e+00
3.699830414406963541e+01 3.395712965116283844e+00
4.108056080177274083e+01 3.611575077881625795e+00
4.561323862890213832e+01 3.868129287257008109e+00
5.064603543891708881e+01 4.034780034090905687e+00
5.623413251903490817e+01 4.332945822494261634e+00
6.243879965653627551e+01 4.586793208255159904e+00
6.932806692144527005e+01 4.812628744239630940e+00
7.697747057123714853e+01 5.126657766714083131e+00
8.547088125592514984e+01 5.451734125786160234e+00
9.490142360424729873e+01 5.907666124721604461e+00
1.053724972736073084e+02 6.238154248608535291e+00
1.169989106589065955e+02 6.619372299999997544e+00
1.299081396906348118e+02 7.016602031250000593e+00
1.442417255241066414e+02 7.465261862464180886e+00
1.601568264445835439e+02 8.075169838187704840e+00
1.778279410038922776e+02 8.477480902255633666e+00
1.974488212815936663e+02 9.161515183486242719e+00
2.192345972483447838e+02 9.586063750000000994e+00
2.434241355236920867e+02 1.021774989304813097e+01
2.702826583905163602e+02 1.094325000000000081e+01
3.001046517818873554e+02 1.160339677018633076e+01
3.332170941244818323e+02 1.220378721428572000e+01
3.699830414406964110e+02 1.338377177570093224e+01
4.108056080177276499e+02 1.404458403361344487e+01
4.561323862890214969e+02 1.474548532110092047e+01
5.064603543891709023e+02 1.581397682926828452e+01
5.623413251903490391e+02 1.684245866666667268e+01
6.243879965653625277e+02 1.817501935483870312e+01
6.932806692144527005e+02 1.914078428571428603e+01
7.697747057123714285e+02 2.059029482758620944e+01
8.547088125592514416e+02 2.080669272727273267e+01
9.490142360424729304e+02 2.256585223880596658e+01
1.053724972736073141e+03 2.408381643835616259e+01
1.169989106589066068e+03 2.428295084745763788e+01
1.299081396906347436e+03 2.604128571428572414e+01
1.442417255241065732e+03 2.758265156250000061e+01
1.601568264445835666e+03 2.849335652173912692e+01
1.778279410038923743e+03 3.091847500000000082e+01
1.974488212815937914e+03 3.175172413793103132e+01
2.192345972483447895e+03 3.420450483870967417e+01
2.434241355236920754e+03 3.555199807692308411e+01
2.702826583905163716e+03 3.581740144927533720e+01
3.001046517818873326e+03 3.686112599999999873e+01
3.332170941244818096e+03 3.858401249999999294e+01
3.699830414406963882e+03 nan
4.108056080177274453e+03 nan
4.561323862890215423e+03 nan
5.064603543891711524e+03 nan
5.623413251903493801e+03 nan
6.243879965653628460e+03 nan
6.932806692144527005e+03 nan
7.697747057123714512e+03 nan
8.547088125592514189e+03 nan
9.490142360424730214e+03 nan
1.053724972736072414e+04 nan
1.169989106589065159e+04 nan
1.299081396906347982e+04 nan
1.442417255241066232e+04 nan
1.601568264445835484e+04 nan
1.778279410038924470e+04 nan
1.974488212815938823e+04 nan
2.192345972483446167e+04 nan
2.434241355236919117e+04 nan
2.702826583905164807e+04 nan
3.001046517818875145e+04 nan
3.332170941244816640e+04 nan
3.699830414406962518e+04 nan
4.108056080177275726e+04 nan
4.561323862890215241e+04 nan
5.064603543891708978e+04 nan
5.623413251903496712e+04 nan
6.243879965653631371e+04 nan
6.932806692144523549e+04 nan
7.697747057123709237e+04 nan
8.547088125592518190e+04 nan
9.490142360424734943e+04 nan
1.053724972736073541e+05 nan
1.169989106589066505e+05 nan
1.299081396906348091e+05 nan
1.442417255241066450e+05 nan
1.601568264445835375e+05 nan
1.778279410038922797e+05 nan
1.974488212815936713e+05 nan
2.192345972483446531e+05 nan
2.434241355236919480e+05 nan
2.702826583905164734e+05 nan
3.001046517818875145e+05 nan
