# r C
7.500000000000000000e-01 3.323291552770184509e-01
1.500000000000000000e+00 2.874985665711047300e-01
2.250000000000000000e+00 2.604604640309353680e-01
2.500000000000000000e+00 2.607819854656976966e-01
3.000000000000000000e+00 2.314563732820283104e-01
3.250000000000000000e+00 2.116298419894659666e-01
3.750000000000000000e+00 2.080202096806453571e-01
4.250000000000000000e+00 1.931668777918527924e-01
4.500000000000000000e+00 1.902866107740516233e-01
4.750000000000000000e+00 1.846301586772451653e-01
5.000000000000000000e+00 1.725070560259572838e-01
5.250000000000000000e+00 1.766318504566971315e-01
5.500000000000000000e+00 1.695103173544902919e-01
6.000000000000000000e+00 1.632819165722159127e-01
6.500000000000000000e+00 1.565283352223481583e-01
6.750000000000000000e+00 1.535490305414300150e-01
7.000000000000000000e+00 1.505905560370691398e-01
7.250000000000000000e+00 1.475552972060753809e-01
7.500000000000000000e+00 1.464124908587465246e-01
7.750000000000000000e+00 1.412442829521968202e-01
8.250000000000000000e+00 1.395948952152365752e-01
8.500000000000000000e+00 1.347810520701379911e-01
8.750000000000000000e+00 1.340306353756917090e-01
9.000000000000000000e+00 1.324513438150778655e-01
9.250000000000000000e+00 1.304124774984999069e-01
9.500000000000000000e+00 1.268315804386959122e-01
9.750000000000000000e+00 1.267046428095206234e-01
1.000000000000000000e+01 1.235633042202813475e-01
1.025000000000000000e+01 1.201562993088428205e-01
1.050000000000000000e+01 1.221374758317221171e-01
1.075000000000000000e+01 1.197196213080872068e-01
1.100000000000000000e+01 1.189735649043269505e-01
1.125000000000000000e+01 1.170092406160410659e-01
1.150000000000000000e+01 1.148605573704913618e-01
1.175000000000000000e+01 1.132948363224214883e-01
1.200000000000000000e+01 1.125977598506567173e-01
1.225000000000000000e+01 1.109494499633308928e-01
1.250000000000000000e+01 1.106357090472698118e-01
1.275000000000000000e+01 1.096607181219488719e-01
1.300000000000000000e+01 1.072380758717247917e-01
1.325000000000000000e+01 1.061194005328914003e-01
1.350000000000000000e+01 1.057201939486223236e-01
1.375000000000000000e+01 1.036077496075495930e-01
1.400000000000000000e+01 1.022593839589305970e-01
1.425000000000000000e+01 1.029919961330755251e-01
1.450000000000000000e+01 1.013161877458497173e-01
1.475000000000000000e+01 9.914895993066204227e-02
1.500000000000000000e+01 1.000745354038095336e-01
1.525000000000000000e+01 9.797803186879125437e-02
1.550000000000000000e+01 9.690569068240913186e-02
1.575000000000000000e+01 9.706881569882436223e-02
1.600000000000000000e+01 9.595947229815321444e-02
1.625000000000000000e+01 9.431692112807520123e-02
1.650000000000000000e+01 9.408394369148419256e-02
1.675000000000000000e+01 9.325836722448163640e-02
1.700000000000000000e+01 9.212853523568237391e-02
1.725000000000000000e+01 9.202414653730538185e-02
1.750000000000000000e+01 9.083315078148067323e-02
1.775000000000000000e+01 9.023406560437362278e-02
1.800000000000000000e+01 8.935392014640056169e-02
1.825000000000000000e+01 8.848341222748183632e-02
1.850000000000000000e+01 8.763653767394016803e-02
1.875000000000000000e+01 8.777475442807297634e-02
1.900000000000000000e+01 8.619059452448343817e-02
1.925000000000000000e+01 8.561672778185211441e-02
1.950000000000000000e+01 8.559420850278907922e-02
1.975000000000000000e+01 8.412208086599713697e-02
2.000000000000000000e+01 8.378047703180212247e-02
2.025000000000000000e+01 8.356301086739115203e-02
2.050000000000000000e+01 8.284432295486365838e-02
2.075000000000000000e+01 8.183775281988496519e-02
2.100000000000000000e+01 8.177564740875198357e-02
2.125000000000000000e+01 8.104932551058960377e-02
2.150000000000000000e+01 7.975999881473579134e-02
2.175000000000000000e+01 8.044988554792541213e-02
2.200000000000000000e+01 7.897246112703809606e-02
2.225000000000000000e+01 7.884230615374357432e-02
2.250000000000000000e+01 7.814069128418084376e-02
2.275000000000000000e+01 7.767264484298952443e-02
2.300000000000000000e+01 7.720492199479964124e-02
2.325000000000000000e+01 7.684195220857860387e-02
2.350000000000000000e+01 7.636267417827855009e-02
2.375000000000000000e+01 7.530051262676770718e-02
2.400000000000000000e+01 7.533444386488512279e-02
2.425000000000000000e+01 7.434908253142802348e-02
2.450000000000000000e+01 7.412178430943015817e-02
2.475000000000000000e+01 7.411560770718046698e-02
2.500000000000000000e+01 7.311583438895925824e-02
2.525000000000000000e+01 7.251274724803737082e-02
2.550000000000000000e+01 7.268316317821370276e-02
2.575000000000000000e+01 7.173912770655299642e-02
2.600000000000000000e+01 7.123737138031424609e-02
2.625000000000000000e+01 7.171208080538703233e-02
2.650000000000000000e+01 7.067346307935680472e-02
2.675000000000000000e+01 6.946227526279530329e-02
2.700000000000000000e+01 7.034884611355042561e-02
2.725000000000000000e+01 6.939875688682274613e-02
2.750000000000000000e+01 6.883749583305553976e-02
2.775000000000000000e+01 6.897023505270721833e-02
2.800000000000000000e+01 6.838594517412271978e-02
2.825000000000000000e+01 6.714317716333845221e-02
2.850000000000000000e+01 6.790651982595743985e-02
2.875000000000000000e+01 6.699887659177278243e-02
2.900000000000000000e+01 6.652149402552763602e-02
2.925000000000000000e+01 6.673758250550036741e-02
2.950000000000000000e+01 6.608001866791118895e-02
2.975000000000000000e+01 6.538289732135989241e-02
