# L PDF
1.053724972736073084e+01 2.468796242401387064e-01
1.169989106589065919e+01 6.919537114963292268e-05
1.299081396906347408e+01 0.000000000000000000e+00
1.442417255241065810e+01 1.274844089493422095e-01
1.601568264445835510e+01 4.103397332506209362e-05
1.778279410038922848e+01 7.051431526550708262e-02
1.974488212815936450e+01 4.341380983533846369e-05
2.192345972483446914e+01 2.552775551159450554e-02
2.434241355236920512e+01 2.269364687877830033e-05
2.702826583905163460e+01 2.039237136346250603e-02
3.001046517818873482e+01 1.302490488223340993e-02
3.332170941244817897e+01 7.902716158333366117e-03
3.699830414406963541e+01 6.352070049431992813e-03
4.108056080177274083e+01 4.627224707671956719e-03
4.561323862890213832e+01 3.187885630318842371e-03
5.064603543891708881e+01 2.572461185285043663e-03
5.623413251903490817e+01 3.587962566469105660e-03
6.243879965653627551e+01 1.321153953613165687e-03
6.932806692144527005e+01 1.919780533414910170e-03
7.697747057123714853e+01 1.369200235355311516e-03
8.547088125592514984e+01 1.437289081349425908e-03
9.490142360424729873e+01 6.717196195509688881e-04
1.053724972736073084e+02 7.251860731362977505e-04
1.169989106589065955e+02 5.291410734971932570e-04
1.299081396906348118e+02 3.847666289208311399e-04
1.442417255241066414e+02 3.695104562045968630e-04
1.601568264445835439e+02 2.722514925828004961e-04
1.778279410038922776e+02 2.440190044811464882e-04
1.974488212815936663e+02 1.775142446600487122e-04
2.192345972483447838e+02 1.514895906550894130e-04
2.434241355236920867e+02 1.129595836879878224e-04
2.702826583905163602e+02 9.666017150802270845e-05
3.001046517818873554e+02 8.112002163496239923e-05
3.332170941244818323e+02 6.111113695933430019e-05
3.699830414406964110e+02 4.512737100974379095e-05
4.108056080177276499e+02 4.004016970713196970e-05
4.561323862890214969e+02 3.280387977488026372e-05
5.064603543891709023e+02 2.567007469781455018e-05
5.623413251903490391e+02 1.966401312155717886e-05
6.243879965653625277e+02 1.688624208116579301e-05
6.932806692144527005e+02 1.456252587247603819e-05
7.697747057123714285e+02 1.054182722323084928e-05
8.547088125592514416e+02 8.402201638528980555e-06
9.490142360424729304e+02 7.095559106865898889e-06
1.053724972736073141e+03 5.775818281616526025e-06
1.169989106589066068e+03 4.591316391575649777e-06
1.299081396906347436e+03 3.805142538298650834e-06
1.442417255241065732e+03 2.997815352338913672e-06
1.601568264445835666e+03 2.491773162782731566e-06
1.778279410038923743e+03 2.035277034741761719e-06
1.974488212815937914e+03 1.562897154072183034e-06
2.192345972483447895e+03 1.333733992862415801e-06
2.434241355236920754e+03 1.158158530365236905e-06
2.702826583905163716e+03 1.043070024293646752e-06
3.001046517818873326e+03 7.680377635235096383e-07
3.332170941244818096e+03 7.031496581850436879e-07
3.699830414406963882e+03 5.406017063346376287e-07
4.108056080177274453e+03 4.938364879918470423e-07
4.561323862890215423e+03 4.030011964705135603e-07
5.064603543891711524e+03 3.629541697200178551e-07
5.623413251903493801e+03 3.116432742779057608e-07
6.243879965653628460e+03 2.577935782942226017e-07
6.932806692144527005e+03 1.785970154171593020e-07
7.697747057123714512e+03 1.546629580873070407e-07
8.547088125592514189e+03 1.348363923424410174e-07
9.490142360424730214e+03 1.284627391342058951e-07
1.053724972736072414e+04 8.496508896274803234e-08
1.169989106589065159e+04 1.066422778894332678e-07
1.299081396906347982e+04 5.792028141148183488e-08
1.442417255241066232e+04 5.282494012932051594e-08
1.601568264445835484e+04 4.400744965296467503e-08
1.778279410038924470e+04 4.284793757351036895e-08
1.974488212815938823e+04 3.666055052761947182e-08
2.192345972483446167e+04 2.693534448126079062e-08
2.434241355236919117e+04 1.878094914105771508e-08
2.702826583905164807e+04 9.162101564741395499e-09
3.001046517818875145e+04 2.856338789963493903e-09
3.332170941244816640e+04 2.000832360689166948e-09
3.699830414406962518e+04 0.000000000000000000e+00
4.108056080177275726e+04 0.000000000000000000e+00
4.561323862890215241e+04 0.000000000000000000e+00
5.064603543891708978e+04 0.000000000000000000e+00
5.623413251903496712e+04 0.000000000000000000e+00
6.243879965653631371e+04 0.000000000000000000e+00
6.932806692144523549e+04 0.000000000000000000e+00
7.697747057123709237e+04 0.000000000000000000e+00
8.547088125592518190e+04 0.000000000000000000e+00
9.490142360424734943e+04 0.000000000000000000e+00
1.053724972736073541e+05 0.000000000000000000e+00
1.169989106589066505e+05 0.000000000000000000e+00
1.299081396906348091e+05 0.000000000000000000e+00
1.442417255241066450e+05 0.000000000000000000e+00
1.601568264445835375e+05 0.000000000000000000e+00
1.778279410038922797e+05 0.000000000000000000e+00
1.974488212815936713e+05 0.000000000000000000e+00
2.192345972483446531e+05 0.000000000000000000e+00
2.434241355236919480e+05 0.000000000000000000e+00
2.702826583905164734e+05 0.000000000000000000e+00
3.001046517818875145e+05 0.000000000000000000e+00
