# L Rg
1.053724972736073084e+01 1.341640000061505411e+00
1.169989106589065919e+01 1.581140000000003321e+00
1.299081396906347408e+01 nan
1.442417255241065810e+01 1.714972616486829526e+00
1.601568264445835510e+01 1.945549999999997670e+00
1.778279410038922848e+01 1.985876379343985976e+00
1.974488212815936450e+01 2.297495432098766166e+00
2.192345972483446914e+01 2.410427400298031486e+00
2.434241355236920512e+01 2.632664999999998923e+00
2.702826583905163460e+01 2.560893530075402769e+00
3.001046517818873482e+01 2.785627325992275249e+00
3.332170941244817897e+01 3.097271642985912621e+00
3.699830414406963541e+01 3.271397843529169069e+00
4.108056080177274083e+01 3.459827943697333374e+00
4.561323862890213832e+01 3.720839476637098464e+00
5.064603543891708881e+01 3.895900353067992317e+00
5.623413251903490817e+01 4.153889828533234407e+00
6.243879965653627551e+01 4.460504726841002743e+00
6.932806692144527005e+01 4.704105738741728437e+00
7.697747057123714853e+01 5.053348011156158393e+00
8.547088125592514984e+01 5.470006071692078642e+00
9.490142360424729873e+01 5.872304554182282921e+00
1.053724972736073084e+02 6.232557393255769185e+00
1.169989106589065955e+02 6.662788595492821209e+00
1.299081396906348118e+02 7.098036905771057725e+00
1.442417255241066414e+02 7.565843071954830634e+00
1.601568264445835439e+02 8.090343667014508355e+00
1.778279410038922776e+02 8.656732328446832270e+00
1.974488212815936663e+02 9.259886029584640355e+00
2.192345972483447838e+02 9.902890659274238061e+00
2.434241355236920867e+02 1.057970690648123302e+01
2.702826583905163602e+02 1.127612574012552038e+01
3.001046517818873554e+02 1.204804084267673581e+01
3.332170941244818323e+02 1.291595053669288440e+01
3.699830414406964110e+02 1.378924504294475994e+01
4.108056080177276499e+02 1.470925138525161380e+01
4.561323862890214969e+02 1.574588571318471431e+01
5.064603543891709023e+02 1.684004616924958597e+01
5.623413251903490391e+02 1.797580126286253233e+01
6.243879965653625277e+02 1.924459281216067907e+01
6.932806692144527005e+02 2.059790009909709596e+01
7.697747057123714285e+02 2.202223654181770485e+01
8.547088125592514416e+02 2.350387114537461386e+01
9.490142360424729304e+02 2.510452739962351032e+01
1.053724972736073141e+03 2.691681229129664743e+01
1.169989106589066068e+03 2.873140063680751410e+01
1.299081396906347436e+03 3.054163547028547043e+01
1.442417255241065732e+03 3.273851021461560151e+01
1.601568264445835666e+03 3.500192545899638219e+01
1.778279410038923743e+03 3.711468242289110719e+01
1.974488212815937914e+03 3.979266036613259416e+01
2.192345972483447895e+03 4.245347380053901531e+01
2.434241355236920754e+03 4.529557697283314610e+01
2.702826583905163716e+03 4.811585630914819944e+01
3.001046517818873326e+03 5.194284892578127710e+01
3.332170941244818096e+03 5.491954736842107110e+01
3.699830414406963882e+03 5.853953659889091909e+01
4.108056080177274453e+03 6.218646038251362995e+01
4.561323862890215423e+03 6.652650220588236607e+01
5.064603543891711524e+03 6.929538762886596714e+01
5.623413251903493801e+03 7.531956410256408674e+01
6.243879965653628460e+03 8.102545499999999379e+01
6.932806692144527005e+03 8.489185833333334585e+01
7.697747057123714512e+03 9.132906486486486131e+01
8.547088125592514189e+03 9.419090833333332569e+01
9.490142360424730214e+03 9.820937999999999590e+01
1.053724972736072414e+04 1.082160000000000082e+02
1.169989106589065159e+04 1.015805000000000007e+02
1.299081396906347982e+04 nan
1.442417255241066232e+04 1.288149999999999977e+02
1.601568264445835484e+04 nan
1.778279410038924470e+04 nan
1.974488212815938823e+04 nan
2.192345972483446167e+04 nan
2.434241355236919117e+04 nan
2.702826583905164807e+04 nan
3.001046517818875145e+04 nan
3.332170941244816640e+04 nan
3.699830414406962518e+04 nan
4.108056080177275726e+04 nan
4.561323862890215241e+04 nan
5.064603543891708978e+04 nan
5.623413251903496712e+04 nan
6.243879965653631371e+04 nan
6.932806692144523549e+04 nan
7.697747057123709237e+04 nan
8.547088125592518190e+04 nan
9.490142360424734943e+04 nan
1.053724972736073541e+05 nan
1.169989106589066505e+05 nan
1.299081396906348091e+05 nan
1.442417255241066450e+05 nan
1.601568264445835375e+05 nan
1.778279410038922797e+05 nan
1.974488212815936713e+05 nan
2.192345972483446531e+05 nan
2.434241355236919480e+05 nan
2.702826583905164734e+05 nan
3.001046517818875145e+05 nan
