# r C
7.500000000000000000e-01 2.229286142971459161e-01
1.500000000000000000e+00 1.355865830888236812e-01
2.250000000000000000e+00 1.000359095758868999e-01
2.500000000000000000e+00 9.466591090957587884e-02
3.000000000000000000e+00 7.858031665587013326e-02
3.250000000000000000e+00 7.302791855605939020e-02
3.750000000000000000e+00 7.372284275806882670e-02
4.250000000000000000e+00 6.411556415044011858e-02
4.500000000000000000e+00 6.545055348092825021e-02
4.750000000000000000e+00 6.069935316084289212e-02
5.000000000000000000e+00 5.589623899706588905e-02
5.250000000000000000e+00 5.942738897039210461e-02
5.500000000000000000e+00 5.143795012003200828e-02
6.000000000000000000e+00 5.186321241219880862e-02
6.500000000000000000e+00 4.675668511603094102e-02
6.750000000000000000e+00 5.026331870316932959e-02
7.000000000000000000e+00 4.592881435049346595e-02
7.250000000000000000e+00 4.483045761440360155e-02
7.500000000000000000e+00 4.671030158293530687e-02
7.750000000000000000e+00 4.180470625500133652e-02
8.250000000000000000e+00 4.284061305236951805e-02
8.500000000000000000e+00 3.909042411309682219e-02
8.750000000000000000e+00 3.724664910642837973e-02
9.000000000000000000e+00 3.859897933566597966e-02
9.250000000000000000e+00 3.758762336623099054e-02
9.500000000000000000e+00 3.463899539877300648e-02
9.750000000000000000e+00 3.560816217658042265e-02
1.000000000000000000e+01 3.262058215524139826e-02
1.025000000000000000e+01 3.225231172757179327e-02
1.050000000000000000e+01 3.357705388103494198e-02
1.075000000000000000e+01 3.160551480394772211e-02
1.100000000000000000e+01 3.197717724726593935e-02
1.125000000000000000e+01 3.101587423312883451e-02
1.150000000000000000e+01 2.973548779674579576e-02
1.175000000000000000e+01 2.825083355561482795e-02
1.200000000000000000e+01 2.911760802880768162e-02
1.225000000000000000e+01 2.806100293411576199e-02
1.250000000000000000e+01 2.759649239797279038e-02
1.275000000000000000e+01 2.720069796390148578e-02
1.300000000000000000e+01 2.621953854361163197e-02
1.325000000000000000e+01 2.581453087936897914e-02
1.350000000000000000e+01 2.543720879205978516e-02
1.375000000000000000e+01 2.507552923203763481e-02
1.400000000000000000e+01 2.449536543078154396e-02
1.425000000000000000e+01 2.430486796479060935e-02
1.450000000000000000e+01 2.366814483862363094e-02
1.475000000000000000e+01 2.334005734862629883e-02
1.500000000000000000e+01 2.307433576489962418e-02
1.525000000000000000e+01 2.248259535876233686e-02
1.550000000000000000e+01 2.254010160285167125e-02
1.575000000000000000e+01 2.172488219080643754e-02
1.600000000000000000e+01 2.137997215924246353e-02
1.625000000000000000e+01 2.114881746243442440e-02
1.650000000000000000e+01 2.081322400259116509e-02
1.675000000000000000e+01 2.061587256601760468e-02
1.700000000000000000e+01 2.033944385169378713e-02
1.725000000000000000e+01 1.997300729469887737e-02
1.750000000000000000e+01 1.951726650916434797e-02
1.775000000000000000e+01 1.956475060016004200e-02
1.800000000000000000e+01 1.904458200347678917e-02
1.825000000000000000e+01 1.884288476927180669e-02
1.850000000000000000e+01 1.876739987806272381e-02
1.875000000000000000e+01 1.826696007824308784e-02
1.900000000000000000e+01 1.823766943912315946e-02
1.925000000000000000e+01 1.812552013870365186e-02
1.950000000000000000e+01 1.772375300080021240e-02
1.975000000000000000e+01 1.752897439317151196e-02
2.000000000000000000e+01 1.745362930114697023e-02
2.025000000000000000e+01 1.702313728105272692e-02
2.050000000000000000e+01 1.678495098692984674e-02
2.075000000000000000e+01 1.688569679187177167e-02
2.100000000000000000e+01 1.651475447216032080e-02
2.125000000000000000e+01 1.640461900951364904e-02
2.150000000000000000e+01 1.632524969621528682e-02
2.175000000000000000e+01 1.576430381435049363e-02
2.200000000000000000e+01 1.597877582170060054e-02
2.225000000000000000e+01 1.564004290032897787e-02
2.250000000000000000e+01 1.559596273291925447e-02
2.275000000000000000e+01 1.536040351501141189e-02
2.300000000000000000e+01 1.550495132035209327e-02
2.325000000000000000e+01 1.493498266204321134e-02
2.350000000000000000e+01 1.489738930381435088e-02
2.375000000000000000e+01 1.489546101182537621e-02
2.400000000000000000e+01 1.454809910093672089e-02
2.425000000000000000e+01 1.459862259565513840e-02
2.450000000000000000e+01 1.446718648782532521e-02
2.475000000000000000e+01 1.408509327977656815e-02
2.500000000000000000e+01 1.418264537209922710e-02
2.525000000000000000e+01 1.392062959046612078e-02
2.550000000000000000e+01 1.383781327391505299e-02
2.575000000000000000e+01 1.380552853309902246e-02
2.600000000000000000e+01 1.370860284964879432e-02
2.625000000000000000e+01 1.340533189802995198e-02
2.650000000000000000e+01 1.340628410000242569e-02
2.675000000000000000e+01 1.328673201742686973e-02
2.700000000000000000e+01 1.320994741454864160e-02
2.725000000000000000e+01 1.310105725163073810e-02
2.750000000000000000e+01 1.314829287810082709e-02
2.775000000000000000e+01 1.284642756586941784e-02
2.800000000000000000e+01 1.289368275984707074e-02
2.825000000000000000e+01 1.266424604698803032e-02
2.850000000000000000e+01 1.269714414980056133e-02
2.875000000000000000e+01 1.261328687650039963e-02
2.900000000000000000e+01 1.266847455617794473e-02
2.925000000000000000e+01 1.239264184734976959e-02
2.950000000000000000e+01 1.246681781808482194e-02
2.975000000000000000e+01 1.233816197139750090e-02
3.000000000000000000e+01 1.217473993064817177e-02
3.025000000000000000e+01 1.228637192140126164e-02
3.050000000000000000e+01 1.210905289029455545e-02
3.075000000000000000e+01 1.198869118721514193e-02
3.100000000000000000e+01 1.203231020335581401e-02
3.125000000000000000e+01 1.176003497721963414e-02
3.150000000000000000e+01 1.187363108951400119e-02
3.175000000000000000e+01 1.174309815950920141e-02
3.200000000000000000e+01 1.174592711902661298e-02
3.225000000000000000e+01 1.156219991997866139e-02
3.250000000000000000e+01 1.158636191873388399e-02
3.275000000000000000e+01 1.154374817411627299e-02
3.300000000000000000e+01 1.148430313124150157e-02
3.325000000000000000e+01 1.144955559577792194e-02
3.350000000000000000e+01 1.137895290596010849e-02
3.375000000000000000e+01 1.134729564247435700e-02
3.400000000000000000e+01 1.126544221316160520e-02
3.425000000000000000e+01 1.122741397706055085e-02
3.450000000000000000e+01 1.118507630403568591e-02
3.475000000000000000e+01 1.112719820523568222e-02
3.500000000000000000e+01 1.113217810463742671e-02
3.525000000000000000e+01 1.103790835450856912e-02
3.550000000000000000e+01 1.102596882978318024e-02
3.575000000000000000e+01 1.096276006935182658e-02
3.600000000000000000e+01 1.091627412700124297e-02
3.625000000000000000e+01 1.090966419874128505e-02
3.650000000000000000e+01 1.083609568612235903e-02
3.675000000000000000e+01 1.085163579853178246e-02
3.700000000000000000e+01 1.081900649697062171e-02
3.725000000000000000e+01 1.075251971954425956e-02
3.750000000000000000e+01 1.052976050478098349e-02
3.775000000000000000e+01 1.048900009554748665e-02
3.800000000000000000e+01 1.061981233420296843e-02
3.825000000000000000e+01 1.002606663233371678e-02
3.850000000000000000e+01 1.033334639530758894e-02
3.875000000000000000e+01 1.020451265343450334e-02
3.900000000000000000e+01 9.965053794843638582e-03
3.925000000000000000e+01 1.010234817682425720e-02
3.950000000000000000e+01 9.982765519120100420e-03
3.975000000000000000e+01 9.859241660484921455e-03
4.000000000000000000e+01 9.766587756735129605e-03
4.025000000000000000e+01 9.976347498160410485e-03
4.050000000000000000e+01 9.608641481356693451e-03
4.075000000000000000e+01 9.640314976571990463e-03
4.100000000000000000e+01 9.740112146673257296e-03
4.125000000000000000e+01 9.364971619986972931e-03
4.150000000000000000e+01 9.768905104378182783e-03
4.175000000000000000e+01 9.399446845116631727e-03
4.200000000000000000e+01 9.445361518456325822e-03
4.225000000000000000e+01 9.684531577003569619e-03
4.250000000000000000e+01 9.368829212610471288e-03
4.275000000000000000e+01 9.318506474158699121e-03
4.300000000000000000e+01 9.265248243642396422e-03
4.325000000000000000e+01 9.443834313113937465e-03
4.350000000000000000e+01 9.167029453653809112e-03
4.375000000000000000e+01 9.298940528775365838e-03
4.400000000000000000e+01 9.272933110246244989e-03
