# L PDF
1.053724972736073084e+01 3.863808313708616549e-02
1.169989106589065919e+01 1.935040218978798798e-01
1.299081396906347408e+01 0.000000000000000000e+00
1.442417255241065810e+01 5.003482737342986215e-03
1.601568264445835510e+01 1.092282299644003682e-02
1.778279410038922848e+01 3.683510930980125886e-02
1.974488212815936450e+01 2.423543264537837000e-02
2.192345972483446914e+01 1.724699489538149971e-02
2.434241355236920512e+01 1.105365667107260398e-02
2.702826583905163460e+01 3.047520282784682913e-02
3.001046517818873482e+01 1.320061419250699586e-02
3.332170941244817897e+01 9.770039318207423412e-03
3.699830414406963541e+01 7.972261106921337687e-03
4.108056080177274083e+01 8.268505511344666908e-03
4.561323862890213832e+01 1.136805164422427170e-02
5.064603543891708881e+01 3.097847457185269604e-03
5.623413251903490817e+01 4.896464430103700596e-03
6.243879965653627551e+01 8.543382577461737471e-04
6.932806692144527005e+01 2.432791313792782243e-03
7.697747057123714853e+01 7.439345199561503159e-04
8.547088125592514984e+01 2.202766927808006737e-03
9.490142360424729873e+01 1.132461189806121529e-03
1.053724972736073084e+02 2.702432404385795520e-03
1.169989106589065955e+02 1.703049950175381834e-03
1.299081396906348118e+02 4.830911826605841408e-04
1.442417255241066414e+02 2.463671391322178831e-03
1.601568264445835439e+02 4.996089442317813234e-04
1.778279410038922776e+02 7.719933088880579332e-04
1.974488212815936663e+02 1.311097175897504461e-04
2.192345972483447838e+02 0.000000000000000000e+00
2.434241355236920867e+02 0.000000000000000000e+00
2.702826583905163602e+02 0.000000000000000000e+00
3.001046517818873554e+02 0.000000000000000000e+00
3.332170941244818323e+02 0.000000000000000000e+00
3.699830414406964110e+02 0.000000000000000000e+00
4.108056080177276499e+02 0.000000000000000000e+00
4.561323862890214969e+02 0.000000000000000000e+00
5.064603543891709023e+02 0.000000000000000000e+00
5.623413251903490391e+02 0.000000000000000000e+00
6.243879965653625277e+02 0.000000000000000000e+00
6.932806692144527005e+02 0.000000000000000000e+00
7.697747057123714285e+02 0.000000000000000000e+00
8.547088125592514416e+02 0.000000000000000000e+00
9.490142360424729304e+02 0.000000000000000000e+00
1.053724972736073141e+03 0.000000000000000000e+00
1.169989106589066068e+03 0.000000000000000000e+00
1.299081396906347436e+03 0.000000000000000000e+00
1.442417255241065732e+03 0.000000000000000000e+00
1.601568264445835666e+03 0.000000000000000000e+00
1.778279410038923743e+03 0.000000000000000000e+00
1.974488212815937914e+03 0.000000000000000000e+00
2.192345972483447895e+03 0.000000000000000000e+00
2.434241355236920754e+03 0.000000000000000000e+00
2.702826583905163716e+03 0.000000000000000000e+00
3.001046517818873326e+03 0.000000000000000000e+00
3.332170941244818096e+03 0.000000000000000000e+00
3.699830414406963882e+03 0.000000000000000000e+00
4.108056080177274453e+03 0.000000000000000000e+00
4.561323862890215423e+03 0.000000000000000000e+00
5.064603543891711524e+03 0.000000000000000000e+00
5.623413251903493801e+03 0.000000000000000000e+00
6.243879965653628460e+03 0.000000000000000000e+00
6.932806692144527005e+03 0.000000000000000000e+00
7.697747057123714512e+03 0.000000000000000000e+00
8.547088125592514189e+03 0.000000000000000000e+00
9.490142360424730214e+03 0.000000000000000000e+00
1.053724972736072414e+04 0.000000000000000000e+00
1.169989106589065159e+04 0.000000000000000000e+00
1.299081396906347982e+04 0.000000000000000000e+00
1.442417255241066232e+04 0.000000000000000000e+00
1.601568264445835484e+04 0.000000000000000000e+00
1.778279410038924470e+04 0.000000000000000000e+00
1.974488212815938823e+04 0.000000000000000000e+00
2.192345972483446167e+04 0.000000000000000000e+00
2.434241355236919117e+04 0.000000000000000000e+00
2.702826583905164807e+04 0.000000000000000000e+00
3.001046517818875145e+04 0.000000000000000000e+00
3.332170941244816640e+04 0.000000000000000000e+00
3.699830414406962518e+04 0.000000000000000000e+00
4.108056080177275726e+04 0.000000000000000000e+00
4.561323862890215241e+04 0.000000000000000000e+00
5.064603543891708978e+04 0.000000000000000000e+00
5.623413251903496712e+04 0.000000000000000000e+00
6.243879965653631371e+04 0.000000000000000000e+00
6.932806692144523549e+04 0.000000000000000000e+00
7.697747057123709237e+04 0.000000000000000000e+00
8.547088125592518190e+04 0.000000000000000000e+00
9.490142360424734943e+04 0.000000000000000000e+00
1.053724972736073541e+05 0.000000000000000000e+00
1.169989106589066505e+05 0.000000000000000000e+00
1.299081396906348091e+05 0.000000000000000000e+00
1.442417255241066450e+05 0.000000000000000000e+00
1.601568264445835375e+05 0.000000000000000000e+00
1.778279410038922797e+05 0.000000000000000000e+00
1.974488212815936713e+05 0.000000000000000000e+00
2.192345972483446531e+05 0.000000000000000000e+00
2.434241355236919480e+05 0.000000000000000000e+00
2.702826583905164734e+05 0.000000000000000000e+00
3.001046517818875145e+05 0.000000000000000000e+00
